,filename,id,non_contact_crawl,non_contact_turn,non_contact_pause,contact_crawl,contact_turn,contact_pause,group
0,C1_L10.csv,1,0.0,0.0,0.0,0.0548920560402467,-0.021560934409170663,-0.03331110006619239,control
1,C1_L10.csv,2,0.0,0.0,0.0,-0.006933746421950293,-0.04515290018586895,0.052291709787549163,control
2,C1_L10.csv,3,0.0,0.0,0.0,0.03142474173178313,-0.0948451383394446,0.06344730996302378,control
3,C1_L10.csv,4,0.0,0.0,0.0,0.09745293132994562,-0.1341007746308026,0.036633195870407406,control
4,C1_L10.csv,5,0.0,0.0,0.0,0.1962994798566814,-0.20323781970551827,0.006917746447177631,control
5,C1_L10.csv,6,0.0,0.0,0.0,-0.21759041354257633,0.06452370358138047,0.15306934163498512,control
6,C1_L10.csv,7,0.0,0.0,0.0,-0.16174253760700882,-0.015261835315917419,0.17704160840497912,control
7,C1_L10.csv,8,0.0,0.0,0.0,-0.0006017756027162716,-0.09157933651018338,0.09238196549494082,control
8,C1_L10.csv,9,0.0,0.0,0.0,-0.03695099866921614,-0.08816134203212989,0.12510755096277346,control
9,C1_L10.csv,10,0.0,0.0,0.0,0.07764072888934566,0.17559565688834497,-0.2532351213017476,control
0,C2_L9.csv,1,0.0,0.0,0.0,0.0700308781649481,-0.20517895588285956,0.13517206769764947,control
1,C2_L9.csv,2,0.0,0.0,0.0,0.062362173966154975,0.08882698026636282,-0.15117164804860522,control
2,C2_L9.csv,3,0.0,0.0,0.0,-0.2099138030590155,0.0011770943675024272,0.20876226202076043,control
3,C2_L9.csv,4,0.0,0.0,0.0,0.08705023909644866,0.1732255065353181,-0.2602898813404088,control
4,C2_L9.csv,5,0.0,0.0,0.0,-0.13079061508426348,0.17721514178201708,-0.0464462992834953,control
5,C2_L9.csv,6,0.0,0.0,0.0,-0.4433528119294145,-0.29944134143087214,0.7426038714861605,control
6,C2_L9.csv,7,0.0,0.0,0.0,0.03494783635774746,-0.031907301251796305,-0.0029796863829438434,control
7,C2_L9.csv,8,0.0,0.0,0.0,-0.029359001291277526,-0.18488684968510094,0.2141932270042808,control
8,C2_L9.csv,9,0.0,0.0,0.0,0.0026647628509363468,0.14382814413449185,-0.14646366293271687,control
0,C3_L10.csv,1,0.0,0.0,0.0,-0.01585540651907204,0.018299017117697776,-0.002430250153469416,control
1,C3_L10.csv,2,0.0,0.0,0.0,-0.09304361569899648,-0.007325702123453657,0.10036785051186072,control
2,C3_L10.csv,3,0.0,0.0,0.0,-0.0779305888613131,0.08809660199587487,-0.010112962951980204,control
3,C3_L10.csv,4,0.0,0.0,0.0,0.048079763493021635,-0.027734990023132514,-0.02020558541939471,control
4,C3_L10.csv,5,0.0,0.0,0.0,0.02316694971641072,-0.08411440220155132,0.060957176155239205,control
5,C3_L10.csv,6,0.0,0.0,0.0,-0.09879371215809828,0.0544276434066295,0.043936842332192756,control
6,C3_L10.csv,7,0.0,0.0,0.0,0.02084054663035686,-0.021398252235226924,0.0005519384411401784,control
7,C3_L10.csv,8,0.0,0.0,0.0,-0.0432058767314525,0.022266863860315574,0.020788305107539307,control
8,C3_L10.csv,9,0.0,0.0,0.0,0.0007919853491007378,-0.022605644207209247,0.02160818356476515,control
9,C3_L10.csv,10,0.0,0.0,0.0,0.014567666689992832,-0.0341011982910461,0.019479611769485747,control
0,C4-3_L9.csv,1,0.0,0.0,0.0,-0.0009535662829335157,0.07444566042829329,-0.07319063015628605,control
1,C4-3_L9.csv,2,0.0,0.0,0.0,-0.007187552697593164,-0.005603163746467134,0.012769074009663612,control
2,C4-3_L9.csv,3,0.0,0.0,0.0,0.00991927297177432,-0.09407531882189155,0.08420879885831162,control
3,C4-3_L9.csv,4,0.0,0.0,0.0,-0.11486633572372881,-0.06408681105212007,0.17897439013123959,control
4,C4-3_L9.csv,5,0.0,0.0,0.0,0.10000738083403689,-0.03769505285908362,-0.062320400868633864,control
5,C4-3_L9.csv,6,0.0,0.0,0.0,-0.021848399207035577,0.06184866970747152,-0.040007601315002646,control
6,C4-3_L9.csv,7,0.0,0.0,0.0,-0.06304861002647393,-0.10340369864913039,0.16643739353528406,control
7,C4-3_L9.csv,8,0.0,0.0,0.0,0.024805627827942787,0.045252649918890275,-0.07015529198027644,control
8,C4-3_L9.csv,9,0.0,0.0,0.0,-0.09736953144985422,-0.0009099805665194543,0.09835286717694637,control
0,C5_L10.csv,1,0.0,0.0,0.0,-0.030637627563550023,0.12315366417442111,-0.09253290771472522,control
1,C5_L10.csv,2,0.0,0.0,0.0,0.01654333767041791,-0.1016036279450115,0.08491523133114048,control
2,C5_L10.csv,3,0.0,0.0,0.0,-0.09918948440040443,0.0818590549062023,0.017354490961067393,control
3,C5_L10.csv,4,0.0,0.0,0.0,-0.032707661864659315,0.04420259247968104,-0.011577551403541093,control
4,C5_L10.csv,5,0.0,0.0,0.0,-0.11168715631993867,0.08386454884714832,0.027826906743356552,control
5,C5_L10.csv,6,0.0,0.0,0.0,0.015908034810053696,-0.018172361230763004,0.0021566515785197177,control
6,C5_L10.csv,7,0.0,0.0,0.0,0.06478771396139356,0.09297432766287676,-0.15781448621274918,control
7,C5_L10.csv,8,0.0,0.0,0.0,0.012635871209323843,-0.056014346670054664,0.04360679512050344,control
8,C5_L10.csv,9,0.0,0.0,0.0,-0.012691868089719973,0.017985025089291663,-0.005454854678991312,control
9,C5_L10.csv,10,0.0,0.0,0.0,-0.10648981862699011,0.15963249776029032,-0.05313670999988523,control
0,C8_L10.csv,1,0.0,0.0,0.0,0.1532910847621455,0.0537676264501738,-0.2070430262342954,control
1,C8_L10.csv,2,0.0,0.0,0.0,-0.20282329248665223,-0.018942590342602667,0.22175880543323495,control
2,C8_L10.csv,3,0.0,0.0,0.0,-0.013773525027428133,-0.26932922956327665,0.2831097528400556,control
3,C8_L10.csv,4,0.0,0.0,0.0,-0.08084290306971303,-0.17100434332995212,0.25184622242183863,control
4,C8_L10.csv,5,0.0,0.0,0.0,-4.286074550904443,-4.047785156375807,8.333517932226261,control
5,C8_L10.csv,6,0.0,0.0,0.0,-0.1643618945758303,-0.3526561911534268,0.5170133557650711,control
6,C8_L10.csv,7,0.0,0.0,0.0,-0.014461365059794904,0.028708739326110733,-0.014215085564688533,control
7,C8_L10.csv,8,0.0,0.0,0.0,-0.23776485767590047,-0.099205326396271,0.33703897526975646,control
8,C8_L10.csv,9,0.0,0.0,0.0,-0.18065693356134618,0.052312634422252924,0.12833806732377964,control
9,C8_L10.csv,10,0.0,0.0,0.0,-0.13488695312038032,-0.19325358873171808,0.3280020366915142,control
0,C_L5_test_1.csv,1,0.0,0.0,0.0,-0.29591101320524404,0.3684562817692492,-0.07254081496814933,control
1,C_L5_test_1.csv,2,0.0,0.0,0.0,-0.17037011879935052,0.17036976021345346,0.0,control
2,C_L5_test_1.csv,3,0.0,0.0,0.0,0.16812147656236173,-0.19534435536549374,0.027232468085625433,control
3,C_L5_test_1.csv,4,0.0,0.0,0.0,0.03979791649146341,0.07278049196993984,-0.11259383519674535,control
4,C_L5_test_1.csv,5,0.0,0.0,0.0,0.19754792209252073,-0.2774461403371178,0.0798959140124182,control
0,C_L5_test_2.csv,1,0.0,0.0,0.0,-0.17819626594051488,-0.1258212458611536,0.3040155878535604,control
1,C_L5_test_2.csv,2,0.0,0.0,0.0,0.05668353533870506,-0.06098937503971769,0.004406044436982361,control
2,C_L5_test_2.csv,3,0.0,0.0,0.0,-0.006850656592756808,-0.24969689318895397,0.25656086577966025,control
3,C_L5_test_2.csv,4,0.0,0.0,0.0,-0.10668015981900861,0.1642077283722259,-0.05750868155047395,control
4,C_L5_test_2.csv,5,0.0,0.0,0.0,-5.858379667572492,5.85828022407679,0.0,control
