,filename,id,non_contact_crawl,non_contact_turn,non_contact_pause,contact_crawl,contact_turn,contact_pause,group
8,D9_L10.csv,9,0.0,0.0,0.0,0.23325282106991,-0.05229810599276673,-0.1809519110482577,mutant
9,D9_L10.csv,10,0.0,0.0,0.0,0.048242750706654805,-0.04097056267730134,-0.007280429288084534,mutant
0,D10_L10.csv,1,0.0,0.0,0.0,0.1109546779371685,-0.024745104195115025,-0.08628482616149916,mutant
1,D10_L10.csv,2,0.0,0.0,0.0,0.23611554299081144,0.04872708597630135,-0.2848457683481917,mutant
2,D10_L10.csv,3,0.0,0.0,0.0,0.10915213064493991,-0.19586220843629268,0.08670450453134339,mutant
3,D10_L10.csv,4,0.0,0.0,0.0,-0.08095867757456711,-0.014087350064688522,0.09504618027184646,mutant
4,D10_L10.csv,5,0.0,0.0,0.0,0.03515551412755532,0.022116061936625808,-0.05742431331312397,mutant
5,D10_L10.csv,6,0.0,0.0,0.0,0.05153429505180823,-0.051683296932845124,0.00012800699980184576,mutant
6,D10_L10.csv,7,0.0,0.0,0.0,-0.04057604588977739,-0.14636508030773926,0.1868129609517255,mutant
7,D10_L10.csv,8,0.0,0.0,0.0,-0.13061352397722928,0.1402397809674904,-0.00971266909888496,mutant
8,D10_L10.csv,9,0.0,0.0,0.0,0.10634053865268644,0.1314207056801895,-0.23775056240400472,mutant
9,D10_L10.csv,10,0.0,0.0,0.0,0.005574853497594299,-0.0010585453506237264,-0.004558736993073562,mutant
0,D_L5_test_1.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,mutant
1,D_L5_test_1.csv,2,0.0,0.0,0.0,0.017066053187483884,0.033491787413457895,-0.050636219499185654,mutant
2,D_L5_test_1.csv,3,0.0,0.0,0.0,-0.07922392018773111,0.034219261203011955,0.04508212291319016,mutant
3,D_L5_test_1.csv,4,0.0,0.0,0.0,0.07909761734562405,-0.05371269787497364,-0.025436931368624485,mutant
4,D_L5_test_1.csv,5,0.0,0.0,0.0,0.2347458694648906,0.42205969807313,-0.6568059109091056,mutant
0,D_L5_test_2.csv,1,0.0,0.0,0.0,-0.19576263506768976,-0.011221783610769068,0.20695035014484098,mutant
1,D_L5_test_2.csv,2,0.0,0.0,0.0,-0.027709570809140705,-0.1382850230233248,0.16635837403785714,mutant
2,D_L5_test_2.csv,3,0.0,0.0,0.0,0.09211966649592229,0.07816910123523721,-0.1702919394751746,mutant
3,D_L5_test_2.csv,4,0.0,0.0,0.0,0.10462090675401726,0.028886262968026898,-0.13349215167101217,mutant
4,D_L5_test_2.csv,5,0.0,0.0,0.0,0.03098900718150283,-0.15967430268262556,0.12871467713015092,mutant
