ID,Other_ID,Start_Frame,End_Frame,Duration
2.0,4.0,805.0,806.0,2.0
2.0,4.0,837.0,839.0,3.0
2.0,4.0,845.0,845.0,1.0
2.0,6.0,907.0,914.0,8.0
2.0,6.0,921.0,933.0,13.0
2.0,6.0,942.0,952.0,11.0
2.0,6.0,991.0,992.0,2.0
2.0,6.0,1009.0,1014.0,6.0
2.0,6.0,1022.0,1024.0,3.0
2.0,6.0,1051.0,1051.0,1.0
2.0,10.0,801.0,806.0,6.0
2.0,10.0,845.0,846.0,2.0
2.0,10.0,891.0,891.0,1.0
2.0,10.0,912.0,914.0,3.0
2.0,10.0,990.0,992.0,3.0
2.0,10.0,1008.0,1020.0,13.0
2.0,10.0,1049.0,1054.0,6.0
2.0,10.0,1065.0,1065.0,1.0
2.0,10.0,1109.0,1110.0,2.0
2.0,10.0,1141.0,1145.0,5.0
3.0,4.0,379.0,379.0,1.0
3.0,4.0,395.0,396.0,2.0
3.0,4.0,409.0,435.0,27.0
3.0,4.0,459.0,461.0,3.0
4.0,6.0,896.0,896.0,1.0
4.0,9.0,618.0,620.0,3.0
4.0,9.0,644.0,650.0,7.0
4.0,10.0,730.0,751.0,22.0
4.0,10.0,757.0,758.0,2.0
4.0,10.0,770.0,770.0,1.0
4.0,10.0,781.0,797.0,17.0
4.0,10.0,814.0,818.0,5.0
4.0,10.0,842.0,843.0,2.0
4.0,10.0,850.0,850.0,1.0
4.0,10.0,897.0,902.0,6.0
5.0,9.0,189.0,190.0,2.0
5.0,9.0,214.0,214.0,1.0
5.0,10.0,154.0,160.0,7.0
5.0,10.0,189.0,189.0,1.0
6.0,8.0,6.0,7.0,2.0
6.0,10.0,901.0,914.0,14.0
6.0,10.0,972.0,974.0,3.0
6.0,10.0,981.0,996.0,16.0
6.0,10.0,1010.0,1016.0,7.0
6.0,10.0,1025.0,1025.0,1.0
8.0,9.0,1002.0,1015.0,14.0
8.0,9.0,1104.0,1104.0,1.0
8.0,9.0,1110.0,1118.0,9.0
9.0,10.0,40.0,42.0,3.0
9.0,10.0,50.0,60.0,11.0
9.0,10.0,78.0,78.0,1.0
9.0,10.0,84.0,87.0,4.0
9.0,10.0,161.0,163.0,3.0
9.0,10.0,186.0,189.0,4.0
9.0,10.0,290.0,298.0,9.0
9.0,10.0,332.0,332.0,1.0
9.0,10.0,375.0,375.0,1.0
9.0,10.0,381.0,384.0,4.0
9.0,10.0,414.0,417.0,4.0
9.0,10.0,427.0,433.0,7.0
9.0,10.0,445.0,446.0,2.0
9.0,10.0,457.0,458.0,2.0
9.0,10.0,465.0,480.0,16.0
9.0,10.0,510.0,523.0,14.0
9.0,10.0,536.0,538.0,3.0
9.0,10.0,544.0,545.0,2.0
9.0,10.0,564.0,586.0,23.0
