ID,Other_ID,Start_Frame,End_Frame,Duration
1.0,3.0,1396.0,1398.0,3.0
1.0,3.0,1419.0,1419.0,1.0
1.0,3.0,1451.0,1455.0,5.0
1.0,3.0,1462.0,1465.0,4.0
1.0,3.0,1474.0,1476.0,3.0
1.0,3.0,4006.0,4006.0,1.0
1.0,3.0,4203.0,4203.0,1.0
1.0,3.0,4258.0,4264.0,7.0
1.0,3.0,4282.0,4286.0,5.0
1.0,3.0,4318.0,4318.0,1.0
1.0,4.0,5100.0,5102.0,3.0
1.0,4.0,5118.0,5120.0,3.0
1.0,4.0,5148.0,5156.0,9.0
1.0,4.0,5177.0,5177.0,1.0
1.0,4.0,5184.0,5203.0,20.0
1.0,5.0,4205.0,4209.0,5.0
1.0,5.0,4218.0,4219.0,2.0
1.0,5.0,4225.0,4226.0,2.0
1.0,5.0,4232.0,4235.0,4.0
1.0,5.0,4256.0,4261.0,6.0
1.0,6.0,5525.0,5530.0,6.0
1.0,6.0,5536.0,5536.0,1.0
1.0,6.0,5575.0,5578.0,4.0
1.0,6.0,5613.0,5615.0,3.0
1.0,8.0,1289.0,1290.0,2.0
1.0,8.0,1305.0,1308.0,4.0
1.0,8.0,1314.0,1315.0,2.0
1.0,8.0,1335.0,1341.0,7.0
1.0,8.0,5890.0,5892.0,3.0
1.0,8.0,5899.0,5899.0,1.0
1.0,9.0,1345.0,1346.0,2.0
1.0,9.0,5082.0,5083.0,2.0
1.0,9.0,5125.0,5129.0,5.0
1.0,9.0,5141.0,5150.0,10.0
1.0,9.0,5162.0,5162.0,1.0
1.0,9.0,5200.0,5204.0,5.0
1.0,9.0,5225.0,5228.0,4.0
1.0,9.0,5252.0,5275.0,24.0
1.0,9.0,5286.0,5288.0,3.0
1.0,9.0,5295.0,5306.0,12.0
1.0,9.0,5318.0,5321.0,4.0
1.0,9.0,5331.0,5336.0,6.0
2.0,5.0,1367.0,1375.0,9.0
2.0,5.0,1393.0,1409.0,17.0
2.0,5.0,1417.0,1418.0,2.0
2.0,5.0,1433.0,1436.0,4.0
2.0,5.0,2604.0,2604.0,1.0
2.0,7.0,3308.0,3322.0,15.0
2.0,7.0,3329.0,3337.0,9.0
2.0,7.0,3348.0,3355.0,8.0
2.0,10.0,2607.0,2614.0,8.0
3.0,4.0,5611.0,5613.0,3.0
3.0,4.0,5627.0,5628.0,2.0
3.0,4.0,5648.0,5654.0,7.0
3.0,4.0,5666.0,5682.0,17.0
3.0,4.0,5703.0,5706.0,4.0
3.0,4.0,5715.0,5734.0,20.0
3.0,5.0,4057.0,4062.0,6.0
3.0,5.0,4068.0,4070.0,3.0
3.0,5.0,4086.0,4086.0,1.0
3.0,5.0,4092.0,4094.0,3.0
3.0,5.0,4109.0,4109.0,1.0
3.0,5.0,4153.0,4153.0,1.0
3.0,5.0,4189.0,4199.0,11.0
3.0,5.0,4259.0,4260.0,2.0
3.0,5.0,5631.0,5646.0,16.0
3.0,5.0,5665.0,5683.0,19.0
3.0,5.0,5705.0,5709.0,5.0
3.0,5.0,5717.0,5719.0,3.0
3.0,5.0,5837.0,5837.0,1.0
3.0,6.0,745.0,745.0,1.0
3.0,7.0,5247.0,5255.0,9.0
3.0,8.0,1933.0,1934.0,2.0
3.0,9.0,1580.0,1580.0,1.0
3.0,9.0,1602.0,1605.0,4.0
3.0,9.0,1611.0,1627.0,17.0
3.0,9.0,1648.0,1651.0,4.0
3.0,9.0,1661.0,1668.0,8.0
3.0,9.0,1702.0,1704.0,3.0
3.0,9.0,1803.0,1811.0,9.0
3.0,9.0,1846.0,1868.0,23.0
3.0,9.0,1875.0,1877.0,3.0
3.0,9.0,1923.0,1927.0,5.0
3.0,9.0,2365.0,2367.0,3.0
3.0,9.0,2381.0,2381.0,1.0
3.0,9.0,2388.0,2395.0,8.0
3.0,9.0,2473.0,2473.0,1.0
3.0,9.0,2509.0,2517.0,9.0
3.0,9.0,2539.0,2543.0,5.0
3.0,9.0,2561.0,2568.0,8.0
3.0,9.0,2578.0,2601.0,24.0
3.0,9.0,2686.0,2689.0,4.0
3.0,9.0,2710.0,2712.0,3.0
3.0,9.0,2727.0,2732.0,6.0
3.0,9.0,2752.0,2762.0,11.0
3.0,9.0,2770.0,2770.0,1.0
4.0,5.0,996.0,998.0,3.0
4.0,5.0,1014.0,1023.0,10.0
4.0,5.0,1038.0,1054.0,17.0
4.0,5.0,1086.0,1093.0,8.0
4.0,5.0,1120.0,1149.0,30.0
4.0,5.0,5666.0,5683.0,18.0
4.0,5.0,5703.0,5721.0,19.0
4.0,6.0,3774.0,3774.0,1.0
4.0,6.0,3784.0,3791.0,8.0
4.0,6.0,3825.0,3840.0,16.0
4.0,8.0,433.0,433.0,1.0
4.0,8.0,966.0,976.0,11.0
4.0,8.0,983.0,985.0,3.0
4.0,8.0,994.0,1015.0,22.0
4.0,8.0,1021.0,1027.0,7.0
4.0,8.0,1040.0,1043.0,4.0
4.0,8.0,1069.0,1070.0,2.0
4.0,9.0,169.0,175.0,7.0
4.0,9.0,182.0,192.0,11.0
4.0,9.0,205.0,208.0,4.0
4.0,9.0,273.0,279.0,7.0
4.0,9.0,416.0,417.0,2.0
4.0,9.0,429.0,429.0,1.0
4.0,9.0,4795.0,4798.0,4.0
4.0,9.0,4817.0,4821.0,5.0
4.0,9.0,4854.0,4866.0,13.0
4.0,9.0,4898.0,4900.0,3.0
4.0,9.0,4980.0,4981.0,2.0
4.0,9.0,5050.0,5050.0,1.0
4.0,9.0,5063.0,5063.0,1.0
4.0,9.0,5165.0,5168.0,4.0
4.0,9.0,5192.0,5207.0,16.0
4.0,10.0,462.0,469.0,8.0
