ID,Other_ID,Start_Frame,End_Frame,Duration
1.0,3.0,607.0,609.0,3.0
1.0,3.0,627.0,627.0,1.0
1.0,3.0,647.0,647.0,1.0
1.0,3.0,2270.0,2293.0,24.0
1.0,3.0,2326.0,2333.0,8.0
1.0,3.0,2339.0,2342.0,4.0
1.0,3.0,2349.0,2349.0,1.0
1.0,3.0,2368.0,2368.0,1.0
1.0,4.0,2182.0,2182.0,1.0
1.0,4.0,2239.0,2240.0,2.0
1.0,4.0,2264.0,2269.0,6.0
1.0,4.0,2275.0,2287.0,13.0
1.0,4.0,2293.0,2297.0,5.0
1.0,4.0,2307.0,2307.0,1.0
1.0,4.0,2328.0,2333.0,6.0
1.0,4.0,2352.0,2352.0,1.0
1.0,4.0,2367.0,2368.0,2.0
1.0,7.0,591.0,592.0,2.0
1.0,7.0,613.0,615.0,3.0
1.0,8.0,640.0,640.0,1.0
2.0,9.0,1770.0,1771.0,2.0
2.0,9.0,1787.0,1797.0,11.0
3.0,4.0,2279.0,2293.0,15.0
3.0,4.0,2331.0,2337.0,7.0
3.0,4.0,2368.0,2368.0,1.0
3.0,5.0,83.0,116.0,34.0
3.0,5.0,139.0,147.0,9.0
3.0,5.0,161.0,164.0,4.0
3.0,5.0,178.0,183.0,6.0
3.0,5.0,190.0,204.0,15.0
3.0,5.0,474.0,477.0,4.0
3.0,5.0,502.0,506.0,5.0
3.0,5.0,519.0,519.0,1.0
3.0,6.0,1007.0,1008.0,2.0
3.0,6.0,1048.0,1049.0,2.0
3.0,6.0,1070.0,1076.0,7.0
3.0,9.0,88.0,114.0,27.0
3.0,9.0,129.0,132.0,4.0
3.0,9.0,144.0,150.0,7.0
3.0,9.0,159.0,172.0,14.0
3.0,9.0,182.0,183.0,2.0
3.0,9.0,200.0,203.0,4.0
3.0,9.0,209.0,218.0,10.0
3.0,9.0,236.0,246.0,11.0
3.0,9.0,252.0,254.0,3.0
3.0,9.0,282.0,295.0,14.0
3.0,9.0,339.0,339.0,1.0
3.0,9.0,347.0,347.0,1.0
3.0,9.0,370.0,410.0,41.0
3.0,9.0,472.0,476.0,5.0
3.0,9.0,497.0,501.0,5.0
3.0,9.0,1374.0,1374.0,1.0
3.0,9.0,1413.0,1421.0,9.0
3.0,9.0,1430.0,1432.0,3.0
4.0,5.0,3.0,19.0,17.0
4.0,7.0,329.0,329.0,1.0
4.0,7.0,346.0,346.0,1.0
4.0,9.0,921.0,921.0,1.0
4.0,9.0,934.0,946.0,13.0
4.0,9.0,969.0,973.0,5.0
4.0,9.0,979.0,990.0,12.0
5.0,9.0,69.0,69.0,1.0
5.0,9.0,91.0,114.0,24.0
5.0,9.0,125.0,133.0,9.0
5.0,9.0,144.0,163.0,20.0
5.0,9.0,180.0,181.0,2.0
5.0,9.0,200.0,202.0,3.0
5.0,9.0,449.0,450.0,2.0
5.0,9.0,470.0,476.0,7.0
5.0,9.0,482.0,486.0,5.0
5.0,9.0,497.0,497.0,1.0
5.0,9.0,503.0,507.0,5.0
5.0,10.0,1787.0,1791.0,5.0
5.0,10.0,1798.0,1801.0,4.0
5.0,10.0,1843.0,1866.0,24.0
5.0,10.0,1893.0,1893.0,1.0
5.0,10.0,1903.0,1922.0,20.0
5.0,10.0,1928.0,1932.0,5.0
6.0,8.0,244.0,245.0,2.0
6.0,8.0,2134.0,2134.0,1.0
6.0,8.0,2161.0,2173.0,13.0
6.0,8.0,2179.0,2180.0,2.0
6.0,8.0,2186.0,2186.0,1.0
6.0,9.0,1.0,1.0,1.0
6.0,10.0,2156.0,2156.0,1.0
6.0,10.0,2203.0,2204.0,2.0
7.0,8.0,1737.0,1737.0,1.0
8.0,10.0,2152.0,2153.0,2.0
8.0,10.0,2209.0,2212.0,4.0
8.0,10.0,2289.0,2289.0,1.0
9.0,10.0,1118.0,1126.0,9.0
