ID,Other_ID,Frame,Distance,Repulsion_Force_ID1,Repulsion_Force_ID2
3,5,8,4.436999339238073,-2.311311311996403,-2.2042821506143238
3,5,9,6.641135785690972,-1.8749855309786445,-0.39297275132418785
3,5,10,7.559397594550451,-1.3770078340259506,0.44551528811769114
3,5,11,7.756531185175655,-1.1152746602676569,0.9137547122114964
3,5,12,8.043500595799317,-1.2820532991945897,0.9697035693967604
3,5,13,8.62134355120125,-1.3593758636291442,0.7731802793625123
3,5,14,9.202934418430404,-1.2202244644842004,0.6305537200259586
3,5,15,9.080394502990512,-0.6433806869527655,0.7375727000171806
3,5,18,6.634260563867166,-0.6506117627570505,-6.679996287711888
3,5,19,13.413632074258974,-0.40177308283270213,-6.430569951393731
3,5,34,3.1142403645629266,-2.490265925893315,-0.9843873792095309
3,5,35,7.478927821780893,-3.8732167041723953,-0.6983911586401135
3,5,36,10.946727176355408,-3.286697427261351,-0.21132532302323295
3,5,37,13.05528846419186,-2.3839937053253726,0.2610115197891709
3,5,38,14.564412052809127,-1.6177585887866806,0.09639522784786404
3,6,13,10.461078823024309,1.1610086435724747,-0.5511956770485307
3,6,14,11.220694793963544,0.9464401208679896,-1.707115918732407
3,6,15,12.372402977156227,0.36902308741657047,-1.521859391996241
3,6,16,10.518221053537461,-0.8986641479121688,2.686378992590345
3,6,34,5.458119907899552,-3.081234931614692,-2.4238717244516392
3,6,35,9.937339288859379,-3.985342176642729,-0.5522353810411547
3,6,36,14.253019626286404,-3.34040454005227,-0.9948054363254237
3,6,106,14.969886398325281,3.8267827428268917,-0.8300904139895775
3,9,25,14.18717795297308,2.7280040046492746,-0.7330122623275868
3,9,27,14.294229533710553,0.8735413100572264,-1.8979851787056548
3,9,28,14.495034859838132,0.7198862587107393,-0.93201410900478
3,9,29,14.765872128714323,0.6374245505059211,-0.9177237753190097
3,9,33,13.010457525373091,5.474173407773096,-1.1042414305194859
3,9,34,11.228019329661374,3.1614610609927634,-1.38136338091203
3,9,35,8.72681323482282,3.9296714037638933,-1.4288091954359958
3,9,36,6.595602419493207,3.3242856871427273,-1.2022826267822824
3,9,37,4.934989161423997,2.409371043420878,-0.7762140236806985
3,9,40,2.7308255072375203,0.9024071473956993,-0.5464207701646667
3,9,42,3.6155810631033054,-1.059550833962669,-0.03340514397433991
3,9,43,6.637830030755779,-3.5277217786796813,0.5030900296968391
5,6,34,2.90378263423291,1.1388977443153367,-3.068608718846921
5,6,35,2.9942042001599525,0.6339624623039393,-0.7883810528686964
5,6,36,3.9372704555007547,0.21220427473071257,-1.1578322990866963
5,6,37,5.062859780304547,-0.1076316035796332,-1.023153270288811
5,6,40,1.0317985158707057,1.0284342397746247,-0.5750193906340871
5,6,41,2.310617888993901,-1.3092435380488325,-0.9061557079859613
5,6,42,4.0947005778039065,-0.9385310854547719,-0.8748816260228003
5,6,44,6.154318847053321,-0.8570326000757857,-0.503152557525657
5,6,46,7.053252604962908,-0.5179755365221141,-0.09552547917732458
5,6,48,8.604936176118535,-0.41365161203645634,-0.709595085331437
5,6,49,9.943605483653155,0.4485451238895768,-1.7912590448917183
5,6,51,11.455051471021845,-0.12046870091195658,-2.79722024950772
5,6,52,12.941121394329457,-0.6451447180329364,-0.8414266803115251
5,6,53,14.42460687807217,-0.3735444675008584,-1.1107836773967092
5,6,63,13.296984260579462,-0.7748658694754461,0.9109747676729777
5,6,64,13.361895350472714,-1.1811519420674883,1.109030830568606
5,6,65,13.108590999818679,-0.9998424712166831,1.2511767203998443
5,9,22,4.179567331366998,-2.7292787695766187,-2.072689881528429
5,9,23,9.791068867029088,-2.201904915312319,-3.4100229405157587
5,9,24,12.74475069588361,-1.8817373103248172,-1.07390751332828
5,9,30,2.278781079850844,-2.4058390225574176,-0.8769148351130377
5,9,31,5.348029225737456,-2.244859231762817,-0.8374824313354005
5,9,32,8.222803769696416,-1.9674366688550706,-0.9120339888320198
5,9,33,10.964408032474037,-1.6035391585162238,-1.1436233250554264
5,9,34,13.603492895302933,-1.1842324131851367,-1.4631075855579558
5,9,62,4.557604988457551,-0.7871322831198633,0.8936272885667071
5,9,63,4.002405702049518,-1.1489901226498318,1.6745994018386616
5,9,64,3.5911935650947258,-1.2179226128214908,1.629133911147225
5,9,65,3.9431109566141895,-0.990803495843616,0.6317300116888088
5,9,66,4.993049326813785,-0.4772572392146419,-0.5727494322209438
5,9,88,11.496851492280792,-0.775627148694175,-0.726861408011549
6,9,4,0.15647415412071597,-1.8725377048682579,-13.667204638150483
6,9,5,7.255556065751888,-3.093159281754059,-4.057940126283361
6,9,6,11.99426675193563,-3.0755431990060904,-1.6632280763017326
6,9,7,13.51887238154664,-0.07637366983352539,-1.4535593905393165
6,9,53,1.7911834766620753,-0.9808291643992276,-2.0265113178198275
6,9,54,4.950784877596917,-1.793288108294933,-1.5023276922509667
6,9,55,7.411200091075478,-1.7150794735231822,-0.7493363785058087
6,9,56,8.717676881904058,-0.8163334662889508,-0.4924340604411447
6,9,57,9.570751019014393,-0.24791137046179865,-0.6085228964811663
6,9,58,10.321772910704716,-0.14720449943943748,-0.604350026458896
6,9,63,10.161195657417753,0.9029161683444256,-1.2997155034050754
