Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Smoothed_X,Smoothed_Y,Velocity_X,Velocity_Y,Speed,Accel_X,Accel_Y,Acceleration,Direction
0,1,565.66656,643.0974,541.54767,663.48425,518.74976,685.55963,3.870902267451468,541.5370841420844,663.6054226869297,,,,,,,
1,1,566.2789,642.88214,542.235,663.5602,519.5533,685.461,3.3006702763573115,541.894271528402,663.3736824809017,0.35718738631760516,-0.23174020602800738,0.42577735030683045,,,,-0.575525320563281
2,1,567.1587,641.0409,542.12946,662.7144,519.91864,684.9894,4.192364611252446,542.3388601202781,662.8294408095265,0.4445885918761405,-0.5442416713751754,0.7027503204464968,0.08740120555853537,-0.31250146534716805,0.32449366184443823,-0.8858377975023962
3,1,568.3223,639.3222,542.4276,661.5078,521.11615,684.0849,6.063041356947476,542.8545141346983,662.0443571491311,0.5156540144201927,-0.7850836603954576,0.9392845236708579,0.07106542254405213,-0.2408419890202822,0.25110786120034234,-0.989645785854834
4,1,569.1676,638.44696,543.3242,660.7448,522.05255,683.53723,6.18877879543885,543.4248977886481,661.0900909760428,0.5703836539497615,-0.9542661730882855,1.1117380275018225,0.054729639529568885,-0.1691825126928279,0.17781466768547366,-1.0320552329725208
5,1,570.2916,638.26215,544.9457,659.8563,523.2699,682.59973,5.946628474388785,544.0336752991129,660.038301766589,0.6087775104648472,-1.0517892094537729,1.2152656493010776,0.038393856515085645,-0.09752303636548731,0.10480854373592424,-1.0461095710912407
6,1,570.171,637.8941,545.46747,659.19055,524.00037,681.697,5.590054140433305,544.6645108830782,658.9606489970965,0.6308355839652222,-1.077652769492488,1.2487149496949144,0.02205807350037503,-0.02586356003871515,0.0339923865655851,-1.0411967408815346
7,1,570.01276,637.69867,545.70825,658.03033,524.7669,679.38806,5.650208166044184,545.3044155063961,657.923616367441,0.6399046233179888,-1.0370326296555277,1.2185707209325178,0.009069039352766595,0.040620139836960334,0.041620226274688144,-1.0179317606548444
8,1,570.0384,637.06067,545.67944,656.5781,525.06,678.1322,7.566337473624526,545.9537871303858,656.9729844716912,0.649371623989623,-0.9506318957497797,1.1512534504876588,0.009467000671634196,0.08640073390574798,0.0869178400627201,-0.9715065234786766
9,1,570.673,636.5191,546.02057,655.21466,525.6112,677.3527,10.151176057837551,546.6163704652333,656.1493581274639,0.662583334847568,-0.8236263442273639,1.0570605614263813,0.013211710857945036,0.12700555152241577,0.12769087446371002,-0.8933352328450752
10,1,571.59247,636.9025,546.92993,655.14044,526.4308,677.2618,10.696838250771751,547.2958546175025,655.476579789719,0.6794841522691968,-0.6727783377448304,0.9562057335760364,0.016900817421628744,0.1508480064825335,0.15179182681973918,-0.780439244839463
11,1,572.3037,635.9634,548.2142,655.83453,526.96094,677.76996,6.386138071873481,547.9957062792711,654.9114424627919,0.6998516617685482,-0.5651373269271289,0.8995401862988328,0.0203675094993514,0.1076410108177015,0.10955100480170275,-0.6793035607951472
12,1,573.42993,635.0907,549.24963,655.44147,527.5331,677.81696,5.771358273012854,548.719336538994,654.3939767883611,0.7236302597228814,-0.5174656744308095,0.8896131052321213,0.023778597954333236,0.04767165249631944,0.05327295911063755,-0.6207863423119845
13,1,573.7175,634.08875,549.79407,654.88684,527.9655,676.8729,4.2036544038092805,549.4681651074883,653.8743588032917,0.7488285684943321,-0.5196179850694307,0.9114532765868395,0.025198308771450684,-0.002152310638621202,0.025290061408120196,-0.6066255270553496
14,1,574.6436,632.6543,550.53076,654.1439,529.25525,675.6886,3.652429959466598,550.235646185014,653.343346125198,0.7674810775257583,-0.5310126780937026,0.9332747016052375,0.018652509031426234,-0.011394693024271874,0.021857610168653556,-0.6052624205508621
15,1,576.81885,631.87744,551.99384,653.61804,530.3434,675.1366,3.614600805853622,551.0132425941933,652.8018417668804,0.7775964091792957,-0.5415043583175247,0.9475669610351602,0.010115331653537396,-0.010491680223822186,0.014573787715621398,-0.6082938337753386
16,1,578.127,630.9434,552.97064,652.91,531.0025,674.02954,2.744309043608289,551.7924171576476,652.2507487411401,0.7791745634542622,-0.5510930257403288,0.9543670799822104,0.0015781542749664368,-0.009588667422804065,0.009717670186867776,-0.6155938443489828
17,1,578.3941,631.1126,553.1256,652.1431,531.57697,673.304,4.709855563619717,552.5646326979979,651.6909700607775,0.7722155403503166,-0.5597786803625695,0.95376570065556,-0.006959023103945583,-0.00868565462224069,0.011129627072732469,-0.6272423325444333
18,1,578.1768,631.6475,553.0654,651.886,531.98883,672.4113,5.373776571250263,553.3213520378663,651.1234087385939,0.7567193398683685,-0.5675613221836784,0.9459122653659294,-0.015496200481948108,-0.007782641821108882,0.01734075382134242,-0.6435195606376696
19,1,578.5534,630.82306,553.764,651.04065,533.1597,670.65155,4.38525836642872,554.0565498073516,650.5489677873896,0.7351977694853531,-0.5744409512042239,0.9330049124611574,-0.021521570383015387,-0.006879629020545508,0.022594408317356242,-0.6632601674956088
20,1,579.026,629.95575,554.4458,650.1125,533.97345,669.7786,4.49627437987183,554.7742478664642,649.968550219966,0.7176980591125357,-0.5804175674236376,0.9230249490820244,-0.01749971037281739,-0.0059766162194137,0.018492155216919725,-0.6800361127734211
21,1,579.81555,628.60754,554.8164,648.4793,534.1377,668.9291,6.199982898211369,555.480979882691,649.3830590491235,0.7067320162268516,-0.5854911708424879,0.917752719361037,-0.010966042885684146,-0.005073603418850325,0.012082861756323855,-0.6918485666820776
22,1,580.77325,628.95374,555.64874,647.8006,534.8726,668.8949,8.560408326110542,556.18327952352,648.7933972876633,0.7022996408289828,-0.5896617614602064,0.9170200534540516,-0.004432375397868782,-0.004170590617718517,0.006086031364381403,-0.6984344294865508
23,1,581.0029,628.71765,556.8892,647.82495,535.88837,669.1196,7.005299207110855,556.8876804564386,648.2004679483857,0.7044009329185883,-0.592929339277589,0.9207311636263518,0.002101292089605522,-0.0032675778173825165,0.0038849058210578325,-0.6996848513975268
24,1,581.92944,628.3234,558.2375,647.9162,536.9517,669.59686,5.9365660956414965,557.600716348934,647.605174044092,0.7130358924954407,-0.595293904293726,0.92886759900216,0.008634959576852452,-0.0023645650161370213,0.008952859577219726,-0.6956458223671684
25,1,582.0158,627.9744,558.97314,647.7676,537.9904,669.46216,5.293723606491763,558.326866544843,647.0069156570001,0.7261501959089856,-0.5982583870918461,0.9408545077451642,0.013114303413544803,-0.002964482798120116,0.013445189187321351,-0.6891314250113292
26,1,583.61304,625.9901,559.33203,646.9393,537.69604,668.9032,4.644014170367521,559.0623930933981,646.3990811469977,0.7355265485550717,-0.6078345100024762,0.954181374361964,0.009376352646086161,-0.009576122910630147,0.013402168441832932,-0.6906287557125761
27,1,585.3156,623.2878,559.79364,645.8532,537.8271,668.2781,4.109754619188514,559.80150372018,645.7735559433894,0.7391106267818941,-0.6255252036082766,0.96828007258804,0.0035840782268223847,-0.017690693605800334,0.01805010407145308,-0.7023546167089241
28,1,585.71515,622.44037,560.30963,645.2622,538.2015,667.83246,3.6591249558892818,560.53840615077,645.1222254754794,0.7369024305900211,-0.6513304679100429,0.9834920287614924,-0.0022081961918729576,-0.02580526430176633,0.025899571349847047,-0.723835129319831
29,1,585.51917,622.5603,561.04364,644.6333,539.148,666.643,3.1034966831050106,561.2673081107495,644.4369751725734,0.7289019599794528,-0.6852503029059562,1.0004329287336522,-0.0080004706105683,-0.033919834995913334,0.03485057727126703,-0.7545402408543366
30,1,585.97546,622.7379,561.98425,643.5627,540.2695,665.29785,4.068423387681055,561.9824173256995,643.7096904639754,0.7151092149500755,-0.7272847085979492,1.0199628604350832,-0.013792745029377329,-0.042034405691993015,0.044239474198101265,-0.7938391338423668
31,1,587.4394,621.50934,563.41254,642.01886,541.3005,663.54114,3.741306022250101,562.6779415212012,642.9371425706859,0.6955241955016618,-0.772547893289584,1.0395114977499809,-0.019585019448413732,-0.045263184691634706,0.04931864632391869,-0.8378159849020007
32,1,587.6928,620.96716,563.66406,640.8704,541.91876,661.8899,4.392354158241537,563.3480884228359,642.1356458804869,0.6701469016346664,-0.8014966901989737,1.0447458131863716,-0.025377293866995387,-0.028948796909389785,0.03849727115670586,-0.8744160879379327
33,1,587.545,619.988,563.69055,639.9879,542.52515,661.61584,5.642224564904804,563.9870657561847,641.3264005728561,0.638977333348862,-0.8092453076308175,1.0311013531443547,-0.031169568285804417,-0.007748617431843741,0.03211826675318108,-0.9024311990351597
34,1,587.4527,619.9509,563.5176,639.4946,542.5368,661.3576,6.947010805146863,564.5890812468288,640.530606827271,0.6020154906440212,-0.7957937455851152,0.9978528631455383,-0.03696184270484082,0.013451562045702303,0.03933347604276506,-0.9231501609885694
36,1,587.5017,618.5711,565.00836,639.2432,543.12335,661.4273,2.804771381365021,565.6590576023278,639.0641747401478,1.0699763554990795,-1.4664320871231666,1.8152885355974402,0.4679608648550584,-0.6706383415380515,0.8177671772435002,-0.9404495216010347
37,1,588.66785,617.3889,565.9551,638.9117,544.0161,661.3269,2.156220902121352,566.115433918345,638.435936757565,0.45637631601721296,-0.6282379825828457,0.7765064742686998,-0.6136000394818666,0.838194104540321,1.0387850428930419,-0.9425458259077336
38,1,588.59534,616.4616,566.0062,638.5914,544.2398,660.9734,1.3873388687618244,566.514748491314,637.899886548058,0.39931457296893313,-0.5360502095069251,0.6684324612836959,-0.05706174304827982,0.09218777307592063,0.1084187623264781,-0.9305542924955194
39,1,588.34644,613.47015,566.1565,637.8459,543.72906,660.46893,2.438713700057609,566.866555033475,637.4469017567055,0.3518065421610572,-0.4529847913524918,0.5735530178666836,-0.04750803080787591,0.08306541815443325,0.09569157060270739,-0.910461874653763
40,1,588.1466,613.01666,566.61053,637.77625,544.41315,660.0992,3.8215178032461967,567.1834764544001,637.0617955217058,0.3169214209250413,-0.38510623499973917,0.4987444228027232,-0.03488512123601595,0.06787855635275264,0.07631821601809981,-0.882220011821913
41,1,589.2805,612.20764,566.8177,637.304,544.33405,660.0614,2.8227895028838463,567.4781356636605,636.7293809812573,0.29465920926043054,-0.33241454044843977,0.4442110717930493,-0.02226221166461073,0.052691694551299406,0.05720157989852523,-0.8455343243614786
42,1,589.361,612.24384,566.70685,637.49365,544.3494,660.0553,2.8409001530728646,567.7631555708286,636.4344712735585,0.2850199071681345,-0.29490970769882097,0.4101317875721608,-0.00963930209229602,0.0375048327496188,0.03872374755112709,-0.8024499602477597
43,1,589.0891,612.433,566.7165,637.76184,544.4322,660.2214,3.321955071263041,568.0511590854762,636.1618795368083,0.2880035146475848,-0.27259173675020065,0.3965504752157691,0.0029836074794502565,0.022317970948620314,0.022516521508769774,-0.7579132767875997
44,1,589.5298,612.57764,566.7642,637.62146,544.9038,660.01984,2.031917576064771,568.3547691171751,635.8964189092046,0.303610031698895,-0.2654606276037157,0.4032969081904331,0.01560651705131022,0.00713110914648496,0.017158557402413472,-0.718460239347293
