Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Smoothed_X,Smoothed_Y
45,1,616.4758,621.7419,589.3508,618.64124,567.53827,637.1185,46.78889433990032,588.7195499500668,618.5640004470428
46,1,618.8813,623.5605,590.53876,618.15674,567.9848,635.22546,47.91264788042355,589.3993285975746,618.6945498763718
47,1,618.4306,622.6962,591.6156,618.38696,568.59924,634.08374,43.42292454059187,590.1552359472644,618.7161982941303
48,1,618.9508,622.48834,592.5681,618.22943,569.04706,632.8835,41.09372296350447,590.9739634980705,618.7043236803715
49,1,619.16205,620.8842,593.08246,618.6536,569.9331,631.7018,34.29643960107778,591.8422027489281,618.7544387862064
50,1,620.5929,623.3908,594.3077,618.7064,569.3738,632.4414,38.95324036612129,592.7466451987717,618.9620563627474
51,1,622.5461,624.7756,595.379,620.2994,569.7682,633.66943,36.92297414907016,593.674167985288,619.3896141104503
52,1,622.55566,625.82043,595.3029,621.78094,570.41187,634.83795,36.11116665472861,594.6123908011705,619.9672495271484
53,1,623.93494,626.17017,596.167,621.9202,570.7257,634.9433,35.809053347486866,595.5491189778639,620.5920250600182
54,1,624.6221,626.44196,596.9269,621.9138,571.1919,634.3657,35.1057222275074,596.4721578468136,621.1610031562369
55,1,626.04285,626.9647,597.54095,621.90857,571.47064,634.0286,34.99310930210567,597.3452991363025,621.5932633586694
56,1,626.2359,626.7244,598.1101,622.014,572.02563,633.1029,32.53866526438117,598.0362801619649,621.8959535929333
57,1,627.1222,626.8623,598.9093,622.30414,572.31964,631.93744,29.09278974223088,598.4410155195698,622.0982388803341
62,1,630.09045,625.9559,604.0242,622.49567,579.0286,625.1323,13.58318098732697,600.878559466084,622.6243668600791
63,1,631.17145,630.9997,607.4555,623.57275,580.5311,627.0444,24.7357470306702,602.4369834184936,622.857355770733
64,1,633.6506,631.1095,605.6357,622.00256,577.6085,627.8855,29.862387630411103,604.0954057792005,623.3181020257717
65,1,629.36206,630.1899,606.3458,626.7822,580.7802,629.8529,15.270686408387869,605.4590486394065,624.0938448850675
66,1,630.79694,629.81976,606.3941,627.1414,581.1012,630.40485,13.615453870558833,606.5651389105474,625.00809199432
67,1,632.7399,629.3549,606.85736,626.952,580.9017,630.3393,12.739222219992724,607.5460501805933,625.8568513803383
68,1,634.4094,629.33575,607.77893,627.1456,581.5191,630.09326,11.106064707278849,608.4827379234157,626.5898642085402
69,1,637.7446,629.8585,609.3896,627.5106,582.6324,629.0599,8.047252192583258,609.4433030843614,627.1953049289962
70,1,637.968,629.75214,610.4436,627.06805,583.8455,628.8392,9.379282113390296,610.4958466087776,627.6613479917761
71,1,638.6318,629.5835,612.21,627.31616,586.5734,628.12744,6.717233676423004,611.6820707202222,627.9768123976646
72,1,641.2222,630.4782,613.62756,626.97034,585.0208,626.8734,7.050488610181873,612.9380827550988,628.1330953503029
73,1,626.8264,625.3436,614.3672,626.62805,596.2369,631.0415,7.795557896189374,614.1735913280219,628.1222386040464
74,1,615.5586,624.2029,616.1568,626.72046,608.63983,632.62384,65.22227562613388,615.2983050536063,627.9362839132506
75,1,634.55005,626.15985,615.15686,624.85004,593.3034,628.1575,12.47006431126498,616.2219325464666,627.5672730322707
76,1,637.1194,625.8058,614.68286,623.63416,590.9166,626.3307,12.00160267130483,616.9029485879649,627.0956037051411
77,1,640.73535,629.3272,615.233,626.08185,592.00037,624.9066,4.35640020192613,617.4948926264528,626.9550976346102
78,1,621.7683,625.7174,618.9948,629.3494,620.7504,630.16724,102.38894302584514,618.1399362635839,627.4851102062249
79,1,632.5766,628.9361,617.62823,629.8826,596.703,630.788,1.1453465667314486,618.7397150472314,628.2937075780117
80,1,642.2436,630.49744,617.08154,630.02295,592.76556,629.4045,0.3758651516608041,619.1926582673401,628.910293460879
81,1,641.0685,629.111,617.4574,629.7352,592.2884,630.92896,1.2010561167341298,619.624906235921,629.2809110047862
82,1,646.3472,626.3648,618.90576,629.8281,598.4627,625.88074,18.12196916293336,620.2195270205007,629.4557632194553
83,1,633.7828,625.7193,622.97833,629.03705,620.74457,627.116,57.76556937836422,621.1595886886063,629.4850531146074
