Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Swapped_In_Smoothing
0,1,622.2449,423.27386,601.2728,445.62665,575.9366,467.2057,6.404135719887884,False
0,2,676.7174,467.20972,709.7691,484.71735,745.5482,505.08255,1.7378751795382545,False
0,3,633.8793,711.3512,621.326,687.0739,600.7646,668.0415,19.8689341171794,False
0,4,591.6968,741.37146,584.38245,708.72217,599.3184,684.4455,44.22881126634287,False
0,5,586.0686,731.2321,587.261,702.9772,600.2129,680.30707,27.32373758631624,False
1,1,619.2705,423.16333,600.1846,446.175,576.43054,466.89944,9.224176890909662,False
1,2,677.7487,467.81793,710.316,485.18674,745.2759,504.80646,1.229396998025253,False
1,3,631.37866,709.98663,620.54224,687.13904,601.022,668.71075,21.273650671727758,False
1,4,588.92993,738.31464,588.0854,707.6701,600.986,681.8972,28.168911162807298,False
1,5,587.14606,728.78534,590.58264,702.95917,600.49695,678.9423,14.851554927692659,False
2,1,618.6805,421.91943,600.46954,445.87717,576.80615,466.6873,11.431389836932519,False
2,2,678.6662,468.66354,711.1772,486.07083,746.5313,505.52133,0.6522210318589211,False
2,3,628.8247,709.9749,619.91156,687.6549,601.3877,670.0235,24.64547210108214,False
2,4,600.51984,735.80914,591.4268,706.69226,595.0305,677.56903,24.397160039508453,False
2,5,586.78864,732.1879,593.0918,705.03107,600.967,678.2548,3.3220729396282227,False
3,1,618.55005,421.90536,600.9595,445.84106,577.4309,466.6572,12.187737559711604,False
3,2,678.86633,469.798,713.15137,486.60126,747.77716,506.99954,4.393022982085223,False
3,3,626.8498,700.1886,617.49036,684.4056,600.0749,666.9641,14.289048649884476,False
3,4,587.14703,727.11285,592.99176,702.63586,600.39813,678.61005,3.702955898411887,False
3,5,587.57104,736.17426,593.1386,706.86346,602.2226,680.27734,8.10917480937676,False
4,1,618.2865,421.4656,600.70105,445.33078,577.081,466.36035,11.935201965946664,False
4,2,680.99396,470.80777,714.1196,488.01025,747.8248,508.12512,3.384891738151542,False
4,3,625.96063,694.53436,616.2834,681.92993,599.71216,666.0898,8.776351082841487,False
4,4,593.71924,684.74255,590.7452,698.5705,592.3412,700.8131,47.57647374092684,False
4,5,593.6778,736.30304,591.49365,708.235,600.04175,680.40607,21.524740046780675,False
5,1,617.9832,419.2506,601.17456,444.74228,576.81384,465.87872,15.653646226726783,False
5,2,683.4157,471.48444,714.87823,488.93872,746.6648,508.80844,2.989371559375407,False
5,3,624.68976,692.2547,614.8942,680.51685,598.61383,664.75714,6.0851815054431215,False
5,4,599.41187,675.7096,590.14343,701.4013,585.9846,725.2661,9.951768019368567,False
5,5,591.7498,729.6714,593.48083,706.2247,600.2295,684.13525,12.766373409715758,False
6,1,618.4246,417.71426,602.00574,443.77292,577.2838,465.40634,16.597834165580814,False
6,2,683.6709,471.43442,714.9631,488.8687,747.0322,508.29776,2.0852526450296685,False
6,3,620.3772,701.19196,614.49615,682.3106,598.02136,663.60254,24.06752182835102,False
6,4,599.9802,679.91724,593.3607,703.68097,585.9739,728.54553,0.9807852457508479,False
6,5,623.1237,695.6147,620.4984,705.6466,610.062,713.3268,38.98538733543991,False
7,1,618.97424,417.0509,602.97723,442.40927,577.92755,463.68353,17.414065358737986,False
7,2,683.1489,471.4346,714.57074,488.71964,747.68353,508.53644,2.084032158537564,False
7,3,619.376,699.93677,613.84,681.35974,598.1905,663.5524,24.715817010653872,False
7,4,600.01605,681.5587,594.9208,704.8326,584.0978,727.0154,193.65900915932818,True
7,5,627.21765,683.5537,620.336,704.2655,607.6494,724.40967,13.822839763322827,False
8,1,620.2215,415.72968,603.7781,440.50552,579.0568,461.93304,15.510670348019778,False
8,2,684.9911,470.9513,715.375,487.9488,749.0731,508.4392,2.078295692611243,False
8,3,616.30975,705.7534,614.5044,683.4632,597.9269,663.6422,35.27735059812763,False
8,4,599.9846,679.658,595.33887,705.4249,577.4301,721.48566,217.89338449267063,True
8,5,608.2048,716.43616,618.30725,705.0452,623.97485,687.94653,23.230938661040675,False
9,1,621.2583,414.89978,604.7466,440.48532,579.9746,461.86273,16.370530642534142,False
9,2,685.7027,470.78625,716.46436,488.51743,750.3866,509.72446,2.0528076984065335,False
9,3,616.8207,703.65936,613.85535,682.46826,598.1722,662.09393,29.621490091068406,False
9,4,598.88043,679.2762,592.5156,706.8079,570.4881,713.36676,240.401763067898,True
9,5,626.6142,685.79584,616.33655,704.91815,602.6023,721.9609,10.607732714905033,False
10,1,622.4364,414.6678,606.3126,440.60977,581.08923,461.82242,18.074191083159153,False
10,2,685.56726,471.0862,717.1348,489.81683,750.05414,511.05148,2.1412831680078512,False
10,3,617.79285,702.36597,613.27893,681.26605,598.4302,662.5143,26.298955450436555,False
10,4,599.1687,679.64294,592.06854,704.8332,568.3635,715.3057,230.42375252000065,True
10,5,627.82825,683.27545,615.2602,704.9752,601.1827,725.3067,4.620205886331935,False
11,1,622.61584,415.6167,606.30945,440.77957,581.52045,461.66534,16.93984001463449,False
11,2,685.6284,471.49896,716.83923,490.2511,749.02856,512.0962,3.164154442143705,False
11,3,619.30865,699.1373,614.31177,682.91907,600.0013,666.3549,23.700969514807127,False
11,4,600.0885,679.236,592.3637,705.6314,568.4182,716.4627,229.34878850131662,True
11,5,628.1935,683.6052,613.96265,707.1352,599.1984,726.30615,6.435686189293489,False
