Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,344.30618,637.5244,328.4207,618.3985,319.46844,596.93896,17.06782041485284
0,2,730.57434,627.86975,714.4304,646.43115,694.5306,663.4191,8.498099820130632
0,3,677.7659,696.00836,691.83203,682.38916,702.5073,668.90045,7.565896549168325
0,4,657.72296,206.4943,662.74445,213.35658,671.21387,206.30612,93.58122927976666
0,5,538.9816,788.96643,544.34,795.72327,557.42816,803.79614,19.917741226652396
0,6,495.15796,776.80444,520.96265,784.4341,536.767,791.5464,7.757421430239228
0,7,886.18085,593.5157,877.70074,584.96844,865.52637,581.9128,31.136224517878958
1,1,338.9283,625.0355,326.92538,616.6781,325.2931,611.21265,38.52260804649393
1,2,731.13153,626.5428,714.9269,645.03644,694.48987,663.88184,6.094420446040482
1,3,674.9628,693.96875,692.01166,681.79297,705.8162,674.8705,8.901237551553004
1,4,641.382,202.58672,661.9703,211.81073,685.91064,213.18835,20.840078811027002
1,5,519.3319,785.6439,539.6897,793.8448,560.4999,802.6113,0.9024397396025261
1,6,494.0937,774.7204,523.98846,783.7363,550.47327,795.2408,6.69638438960689
1,7,885.9603,593.62085,876.67914,585.47705,864.35876,582.1643,26.215485110466567
2,1,310.6835,585.98267,325.46176,613.82007,345.28665,638.7395,10.541465025151325
2,2,731.4118,627.0452,714.9291,645.53015,694.4616,663.4726,7.038235931310432
2,3,670.5648,703.1753,690.1312,683.7645,707.7843,664.7355,2.377099213792334
2,4,645.06714,215.35693,659.1884,211.54462,662.8888,203.10573,51.21501783419054
2,5,530.0336,788.5692,545.3206,791.7996,560.6661,800.05005,16.332501524245444
2,6,496.58676,776.0806,524.3381,782.35895,548.3024,793.4794,12.145477294830723
2,7,885.1257,595.39996,875.607,586.3961,862.51,583.36334,30.370090622666304
3,1,310.62332,585.4659,325.25684,613.8694,345.14862,639.2259,10.856033893981635
3,2,732.8189,624.893,716.6165,645.1518,694.9452,662.9752,11.912838455746892
3,3,685.66113,683.4329,691.3508,682.5086,694.88116,685.3524,48.08003352110011
3,4,640.21234,202.0938,657.90186,211.87766,673.04474,219.07817,3.5153005013874647
3,5,544.2798,796.056,549.6807,796.84753,556.8193,799.99365,15.446842319180872
3,6,498.239,776.64734,525.3067,781.8291,548.586,793.1478,15.092248618213606
3,7,883.70154,597.503,875.2633,587.4186,861.9532,585.291,40.99710903142438
4,1,310.4475,584.94885,324.68433,613.7294,344.82034,639.4746,11.709723345732515
4,2,733.28827,623.015,717.9261,644.4006,695.651,662.7098,14.889865812478698
4,3,681.28064,687.9624,690.3849,683.06006,698.7234,680.4561,10.958529930040255
4,4,640.0066,200.66263,657.6872,210.87091,674.5441,222.0604,3.5750031218829093
