Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,628.1835,792.01825,652.05176,773.96027,675.72046,757.1756,1.7676861968883937
0,2,503.62338,383.49026,489.2476,403.14557,475.03653,426.45352,4.810515746780666
0,3,606.57996,814.4932,610.8794,817.47876,603.1097,816.0929,155.33718797969507
0,4,631.4796,832.5058,642.3652,815.6353,660.19946,803.0143,21.88173783399273
0,5,339.14655,736.3306,340.05435,744.76575,345.67844,759.18933,15.159297031282518
0,6,364.69016,528.9093,353.9607,550.9224,350.92526,570.87726,17.335911082997
0,7,466.698,442.1618,470.09448,432.38104,464.34268,422.6595,49.7610134307364
0,8,355.85254,549.25305,349.34094,555.83295,354.53757,566.9396,69.77527878732259
0,9,415.40912,848.97003,429.09167,853.21344,435.27554,853.18445,17.498969733165676
0,10,528.9181,867.5935,545.22925,864.65265,555.82104,850.1362,43.663453256203596
1,1,628.74286,791.4621,652.77057,773.5442,676.733,756.75244,1.6915383425798685
1,2,498.6741,388.3853,489.10504,405.16724,479.5215,422.0723,0.14265252599748507
1,3,606.6117,814.1289,611.3893,817.31934,603.4277,816.9933,148.61046235781927
1,4,630.48645,828.67456,641.6897,814.5557,658.3322,800.78845,11.969386356326392
1,5,335.60245,729.9508,340.00674,744.07465,347.6631,762.8749,4.839262229665978
1,6,366.0451,526.5044,352.62192,550.6184,349.18713,573.2067,20.45653811929752
1,7,465.7162,440.08777,469.90158,431.95477,473.65042,419.9392,9.903335470351442
1,8,355.80032,545.3525,350.0083,553.82526,354.59705,566.46027,54.31652088519374
1,9,427.29865,849.9593,429.1367,853.7,421.50873,850.76874,137.18846873429243
1,10,529.9719,866.77014,545.6264,864.2851,556.1866,851.2519,41.96374663454134
2,1,629.7867,790.77356,653.38293,773.50226,677.1059,756.88873,1.197956498845838
2,2,475.01852,424.824,488.42474,407.45163,499.12808,388.73193,7.8976942248899515
2,3,608.4786,813.40265,611.5256,817.7853,602.3861,817.6684,125.54143099923276
2,4,631.8914,821.7871,640.4024,814.22833,651.4096,803.85944,1.680744476825573
2,5,338.65155,735.92896,339.28125,743.4842,344.45105,757.7838,15.1122639665254
2,6,352.78284,554.075,353.5311,547.3294,364.3976,529.97174,25.71834138519923
2,7,466.21426,420.1683,467.79572,429.12897,458.3272,435.8042,64.8253838794962
2,8,351.1783,561.553,352.83014,556.48804,362.18088,551.9346,45.97295434989822
2,9,421.11133,850.49744,429.47693,853.5219,432.0968,852.05084,49.19119144554001
2,10,529.9979,866.3994,545.5793,863.3733,557.0949,851.1173,35.793045434455586
3,1,629.93475,790.556,653.2929,773.4929,676.61414,757.21857,1.2395421499341601
3,2,483.7631,413.5566,485.00623,413.45877,479.6173,415.991,159.33150430614873
3,3,621.7839,806.42676,611.8917,818.38556,592.4855,824.0919,34.01708062947452
3,4,634.8566,819.6747,640.25,813.9816,647.70874,810.96375,24.51964840019444
3,5,345.5441,752.37885,339.37827,743.90173,338.03717,741.89795,2.2367716808307225
3,6,362.89392,532.0047,352.80356,547.23254,353.82376,554.1648,41.90147058883252
3,8,355.2433,542.12976,352.96616,556.3452,357.9683,570.3642,28.73770831892878
3,9,442.02463,857.08905,426.6151,853.81354,411.6167,845.4595,17.117248902242014
3,10,533.8096,865.5748,545.62933,861.6861,557.34033,850.94794,24.3072906317239
4,1,631.41876,789.24695,653.9918,773.2494,675.5508,757.92224,0.08392937202498843
4,2,476.38602,423.36133,480.66397,428.11658,481.55188,429.1989,2.611195222993164
4,3,614.7826,810.2288,612.39496,818.99603,598.4292,821.69324,63.83476225481973
4,4,629.9288,822.0746,640.27264,813.7066,651.6332,802.5995,5.3816837933401676
4,5,344.6469,750.22815,338.76212,742.24805,337.70453,741.98425,39.588185471501696
4,6,363.92426,529.93243,353.5629,546.2218,353.90146,552.8189,35.39749494682873
4,7,464.25565,443.34503,470.57797,436.54984,474.72485,427.01566,19.42886268154234
4,8,355.679,545.319,353.89658,558.43713,358.91122,570.06476,31.06668698329149
4,9,431.6815,854.57074,424.35504,851.8716,414.9015,845.418,14.095307172676048
4,10,534.73376,866.45703,546.5685,861.05176,558.61896,850.09186,17.73888477134147
5,1,631.8942,789.0521,653.6436,773.3259,674.86194,758.64923,1.1976297566812735
5,2,466.39664,441.36163,469.9552,438.3724,473.98566,430.30765,23.415315252501088
5,3,617.34424,808.75134,612.6231,819.2986,597.4008,822.5344,53.884996282040426
5,4,633.4528,818.17694,640.6871,813.5634,648.0976,806.16675,12.419384067144847
5,5,337.54868,742.2886,338.56927,741.10767,344.13068,749.38794,105.2777268309482
5,6,357.5284,539.6702,353.5761,544.566,361.54587,537.8695,168.9517747153349
5,7,465.75058,444.23422,470.39148,440.3705,472.62366,429.9656,38.11325272030019
5,8,356.86124,549.1763,355.8885,557.7936,360.995,563.88416,46.41784709423136
5,9,418.37747,852.9344,419.33707,851.7695,408.9176,838.33746,77.28123885721082
5,10,536.1171,866.20026,548.2441,859.5094,559.8103,849.45465,12.114044822348124
