Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,926.18054,676.48566,902.4426,704.6494,875.5429,734.42944,1.9650315275250414
0,2,892.64185,732.4033,877.0756,747.449,854.65356,762.84686,9.547258440872659
0,3,716.05383,744.32556,733.264,763.88806,740.17957,786.94934,24.64689705821538
0,4,794.58264,808.01404,776.2012,814.8174,760.1836,824.20984,10.076165242752818
0,5,754.0823,818.5865,769.0325,806.929,782.8647,793.3869,6.44734492209168
0,6,373.15466,579.82635,378.16245,593.9786,378.24936,609.3081,19.161564956020534
0,7,596.6638,250.20517,604.5614,246.63403,613.44995,243.93433,7.4365888968513385
1,1,926.06134,677.12415,901.86304,704.4928,876.36426,734.0048,0.654317752198451
1,2,892.1204,733.2857,876.1662,747.503,854.64264,763.0744,5.820933082541303
1,3,715.0732,743.6171,731.5141,762.89014,740.36584,786.0105,19.51638209302512
1,4,794.6855,808.6308,776.05975,814.9005,759.6335,823.934,10.2042476517496
1,5,754.1966,818.80597,768.792,807.07416,782.79144,793.34015,5.659254220078754
1,6,373.42764,582.723,378.20383,595.10504,377.7873,611.3772,22.5597114916815
1,7,604.82544,245.14279,603.2449,244.729,598.5163,246.42683,34.42167892231651
2,1,926.8747,676.1887,902.1687,703.80585,876.9146,734.23846,2.128264626932125
2,2,890.8381,734.3626,874.81226,748.2836,853.73584,764.4736,3.4496900309942773
2,3,714.2188,742.5913,730.8949,762.82776,739.73926,786.20306,18.76582727839296
2,4,794.89954,808.76483,776.4132,814.7805,760.2891,824.24506,12.38659834186388
2,5,755.13275,818.8939,768.9567,806.86487,782.2007,792.88837,5.513133175024389
2,6,374.03772,581.59467,377.86838,595.94666,379.0503,611.1683,10.504383642744832
2,7,613.24194,246.0737,605.14746,245.93925,597.5495,248.45901,19.29896077269066
3,1,926.5335,676.28015,903.2939,703.16907,878.1234,733.4712,1.1216958327879891
3,2,886.49567,736.5386,873.36194,748.6061,855.1868,764.21454,1.92193205482074
3,3,711.9338,741.0391,729.15356,761.2118,739.58997,786.04553,17.690106373946794
3,4,794.6827,808.5231,776.29614,814.781,760.5473,824.2981,12.348506186083885
3,5,755.0235,818.6673,769.10114,806.637,782.24426,792.0143,7.53423884526833
3,6,373.69894,584.4393,378.15945,595.1849,376.89297,608.8987,27.819728235176047
3,7,610.315,245.15631,605.0186,244.64844,598.71497,247.59366,30.52052676018271
4,1,926.6813,676.1454,903.7113,702.84076,878.6808,732.87964,0.906981800478104
4,2,884.33484,738.2448,869.67535,749.99426,852.8291,765.5933,4.086769799635772
4,3,711.1928,740.5747,727.9826,760.7649,738.8997,784.4646,15.013429550556246
4,4,793.9623,808.09424,775.27954,815.1809,758.0252,822.66064,2.664253777153755
4,5,753.0447,817.50287,768.7075,806.5035,782.1683,791.45044,13.117379440891794
4,6,374.5795,587.4492,377.85333,595.94995,376.69824,605.3333,28.08067822302834
4,7,588.1531,250.52553,603.6716,245.52419,617.2863,242.20769,4.172792244210506
5,1,926.46625,675.87573,903.6124,702.901,878.2703,733.5518,0.6348900436663848
5,2,884.3277,738.0748,869.18506,750.87427,851.73584,766.9015,2.3611544485096183
5,3,710.4147,739.40515,726.62854,759.2704,738.86475,782.88043,11.825050861541268
5,4,794.33325,808.35535,775.75165,814.4735,758.86786,822.804,8.037243928060633
5,5,753.83075,817.9544,768.48804,806.0025,779.20844,790.28156,16.514576812476843
5,6,374.7706,589.7144,378.8186,595.642,376.46487,601.64984,55.72356980223774
5,7,599.25024,248.6594,603.3185,245.73036,606.96094,244.17946,12.689413254629176
6,1,927.0461,675.195,903.295,702.74744,877.33026,734.1439,1.1718632535076772
6,2,884.4932,737.54724,869.21735,751.37427,851.19464,767.4869,0.35332446655648236
6,3,710.4312,739.6133,726.33026,759.1402,738.859,780.6149,8.892802438686996
6,4,793.9338,808.2169,775.3016,814.7448,758.965,823.3639,8.507708123844706
6,5,752.1451,818.28076,767.1685,806.7578,780.5594,793.3017,7.65114252129623
6,6,374.23013,584.5566,378.01593,596.40546,377.7361,610.1393,18.886230297794928
6,7,596.9994,248.27983,603.8671,245.65569,606.99963,244.73303,4.499845136066848
7,1,927.80774,674.5076,903.5034,702.51355,877.3224,734.6672,1.7980916128949214
7,2,884.28705,737.79944,868.37396,751.71234,851.01447,768.10596,2.197488868992146
7,3,709.5862,738.67535,725.82886,757.9208,738.5905,779.36127,9.40192882418841
7,4,792.7608,807.64404,773.4495,815.20557,757.66064,823.2383,5.5817741217670775
7,5,751.52405,818.27875,767.0749,807.64087,784.794,797.1426,3.728881495527626
7,6,373.69888,583.55804,377.7672,594.5793,376.9844,609.5389,23.256328491891555
7,7,609.28186,246.10242,603.9497,246.12402,596.09735,249.61653,23.745975239403144
8,1,929.1682,673.29706,904.70654,702.3539,877.8073,735.22595,0.7991738780854106
8,2,883.309,738.6182,867.4167,752.6536,849.99744,770.2302,3.808172060309362
8,3,709.0089,736.95734,726.1163,756.4409,739.17566,778.5242,10.68560899518741
8,4,790.56146,808.50244,772.23987,814.7903,759.4454,819.95886,3.055308872555341
8,5,749.4174,817.31165,765.68646,809.97174,787.2417,802.6798,5.5927530280844335
8,6,373.4942,583.4974,377.77377,595.1613,377.33826,606.88745,22.27541983752897
8,7,603.262,245.93304,604.9026,245.21173,601.27875,246.09355,169.9426299653265
9,1,929.5685,672.92773,905.25757,702.27704,878.18445,735.2298,0.23069991251677843
9,2,883.8498,737.985,867.5967,752.7138,849.9518,770.98157,3.8101768973756336
9,3,709.1751,736.352,725.74384,756.60944,739.2844,778.11017,7.078423410632729
9,4,772.6089,810.8243,771.4955,814.03577,779.9054,815.61664,98.47506077343854
9,5,746.9077,816.7843,765.698,811.7613,789.87775,804.7792,1.1398662269877649
9,6,373.87137,581.72986,378.11142,594.1944,377.89157,607.6373,19.723649103085005
9,7,613.84424,244.62576,601.5456,246.18787,588.16296,251.51727,14.475470377598825
10,1,930.10425,672.81586,905.54535,702.0995,878.2021,734.9997,0.25564439666474065
10,2,883.6136,738.1597,867.0603,753.1241,849.00134,771.86725,3.9511137463487516
10,3,708.08344,735.0189,724.23804,756.137,739.43964,777.93005,2.51730615280729
10,4,772.9109,813.6197,770.51746,812.8405,774.16113,812.564,157.6281075685521
10,5,747.01526,817.27893,764.85693,810.8002,787.535,803.8251,2.8608811438780397
10,6,373.64578,581.49304,378.21204,594.3327,377.9614,609.9598,20.496134495239165
10,7,602.5371,246.45781,597.1837,246.86273,589.55835,249.52089,14.892722954337001
11,1,930.36615,673.2024,905.1367,702.05853,878.025,734.8306,1.56360450116466
11,2,882.5162,739.00195,865.8752,753.96716,848.16437,773.64795,6.050839593111068
11,3,706.7069,734.21924,723.2363,755.26733,738.93097,777.5476,2.9815030004764913
11,4,785.96655,810.50433,772.3064,812.9841,765.57745,817.3845,22.894132508807683
11,5,747.78345,816.81433,765.591,809.81635,788.2976,804.36053,7.943147014828295
11,6,373.6487,581.8723,377.78677,595.3104,378.1989,611.70184,15.67509793974217
11,7,599.5596,247.91396,599.93677,246.46072,598.48584,250.30302,173.86297778225713
12,1,930.24976,672.74524,905.2926,701.9409,878.34283,734.4286,0.8474218838467732
12,2,873.7928,744.98553,866.03204,753.52277,857.4858,767.08716,10.059266761150035
12,3,705.37964,733.46094,722.07904,754.4391,738.4371,776.3044,1.719990951934634
12,4,785.2682,810.46844,772.99335,813.32416,766.33777,816.80896,14.539394616734894
12,5,747.54834,815.7574,766.0421,809.6055,788.4265,804.47955,5.501176614172587
12,6,373.62924,581.73157,377.7029,594.76953,378.2908,609.36816,15.04516872113061
12,7,595.5966,256.1755,602.92175,252.9401,611.4798,248.62425,2.9315126656150614
13,1,930.5854,672.6477,905.4614,701.75696,878.1545,734.2182,0.7260464158861619
13,2,882.0789,739.0062,865.86755,753.6177,849.30475,773.6874,8.439710097832883
13,3,705.8061,734.553,721.8468,754.5634,737.73083,774.5765,0.27836248477296915
13,4,794.6398,808.10815,775.75287,814.5038,761.9116,822.46704,11.205493636827558
13,5,748.2671,815.6202,764.8615,808.6555,786.2885,802.3402,6.345573374210813
13,6,373.86932,583.59576,377.80298,596.06616,377.1934,610.23535,19.970793915880485
13,7,588.9198,251.72198,601.6697,246.68112,616.62537,246.19228,19.7000171005191
14,1,931.2965,672.2138,906.0593,701.54803,878.04785,734.30585,0.17132016174909548
14,2,875.07806,744.29004,866.46906,752.4003,858.78723,764.17505,13.588153177634233
14,3,704.69055,732.90845,720.9387,752.91547,736.6294,773.24084,1.4136083525210943
14,4,794.29645,808.0739,775.12866,814.19226,762.0534,823.0554,16.428603201479323
14,5,748.6055,815.98914,765.51776,808.7302,787.70667,803.311,9.504687040923487
14,6,376.51266,598.75616,378.05676,595.3858,375.23038,593.4761,80.56835437029346
14,7,594.784,249.73491,604.5891,246.36168,610.8878,248.42215,37.098889483446335
15,1,931.11725,672.9582,905.67914,702.06226,877.781,734.7586,0.6824231169165307
15,2,880.81537,738.7441,864.3995,755.7581,848.68146,776.78955,7.202088014351617
15,3,706.26587,734.4793,721.1798,753.556,735.7812,772.24945,0.027976455118293345
15,4,790.05115,809.21594,773.81836,812.9354,764.3943,819.81445,23.221664061367413
15,5,747.6247,815.66595,766.62775,809.0674,790.0521,805.0161,9.336646490572424
15,6,373.70438,583.55865,378.12753,594.5175,377.41913,607.49866,25.103351642761513
15,7,589.92883,251.36418,609.3708,246.43759,629.8628,243.6103,6.363962568531885
16,1,930.79126,673.6054,905.2164,702.6706,877.56323,734.4929,0.35608270981587586
16,2,879.4358,739.0142,864.11224,756.88995,848.95593,777.5185,4.298422726062455
16,3,703.9845,731.98206,719.8594,751.76215,735.6696,771.7624,0.4233615468061933
16,4,794.709,808.62103,775.469,814.02844,762.5159,823.28986,19.866642990002124
16,5,747.4334,815.5423,764.5511,808.72534,786.7352,803.85516,9.332519728421575
16,6,374.40436,585.4498,377.8292,594.1648,376.75055,605.6252,26.830796550625063
16,7,589.4524,251.28984,608.24426,246.22379,627.2145,243.79434,7.789613667416377
17,1,930.1771,675.0036,904.6824,703.6085,877.603,734.4111,0.3896676766123833
17,2,878.2088,738.86786,863.4224,757.2808,848.68463,777.9147,3.229436390239387
17,3,702.36884,730.149,718.4644,750.82874,735.9519,771.25104,2.678761242259143
17,4,793.99585,808.5649,775.60626,814.64874,761.6906,822.2473,10.330644548708594
17,5,747.4261,815.431,765.8073,808.7377,787.3806,803.6385,6.709959836862957
