Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,943.15686,404.46478,931.4693,435.5199,917.57306,469.26562,1.757805349117862
0,2,861.4475,196.44865,835.0712,205.71118,809.12134,220.75322,10.749350590716931
0,3,764.802,548.60724,745.38776,564.59674,719.22797,581.3666,6.812673571298419
0,4,766.2631,564.9345,746.3608,584.14514,714.65314,599.6361,17.948701316168222
0,5,815.09125,471.8048,838.6802,487.45685,836.8797,509.8878,61.023556946470336
0,6,547.6411,479.67868,571.4447,487.852,595.2564,496.8753,1.8030912618057464
0,7,444.06305,191.22385,435.7514,203.29138,425.41052,219.04173,1.2710318451737836
0,8,430.23428,186.45245,419.2459,195.12651,407.4251,207.84073,8.798392889337936
0,9,779.92224,540.5281,773.2974,547.9946,763.4918,555.78046,9.968215556889508
1,1,944.51263,401.74347,932.4531,433.79648,917.64435,467.8145,2.9062963749699606
1,2,861.05273,196.13585,835.5879,205.2146,810.3799,219.6724,10.213746909202795
1,3,765.9571,548.572,746.0617,564.2218,719.89874,581.083,5.388124895513665
1,4,767.0645,564.23114,747.05786,583.65326,715.21545,599.27985,18.011264702296806
1,5,813.82153,471.9711,838.5571,486.59402,837.40765,509.6098,62.26886608277354
1,6,546.0924,479.29413,570.45294,487.4656,594.6557,496.8697,2.6903545838357705
1,7,442.78094,192.63144,434.5345,204.96022,425.09293,221.33658,3.812797019104329
1,8,431.2553,189.332,419.98566,194.53117,407.08542,207.4787,20.338917745964057
1,9,779.3203,539.14386,773.19995,547.6736,763.9432,555.8314,12.950126452151496
2,1,945.635,399.8576,934.5314,432.5453,918.4937,466.09906,6.784257091413186
2,2,862.08203,196.12689,836.761,203.96106,810.85205,219.65375,14.01100641203495
2,3,766.1822,548.5663,746.50195,563.54315,721.5543,580.2351,3.4858245133281263
2,4,767.31995,564.68604,747.56805,583.61536,715.8958,598.93634,17.967066219085975
2,5,814.6032,472.54175,839.2703,486.51303,837.3456,509.31393,65.29828458657761
2,6,542.9696,478.42322,567.83966,486.9087,593.00037,496.84283,2.706169187300716
2,7,436.51834,199.06195,435.51053,203.0058,426.10733,216.90033,19.753782467909737
2,8,423.81033,202.6993,422.31915,197.85516,405.65356,210.46742,110.00781088600135
2,9,779.28845,542.90137,771.9227,547.2894,765.77826,557.70197,28.6710262411316
3,1,946.1079,397.89877,934.8677,430.79465,918.5829,463.4065,7.670484113613404
3,2,862.53955,195.89836,837.4932,202.905,811.02686,218.59888,15.038049566609075
3,3,766.0039,548.28143,746.71686,563.10645,722.86304,579.29614,3.3828088342705778
3,4,766.9064,564.8612,747.7143,583.7373,716.5658,598.5029,19.161648191691246
3,5,813.1634,472.15057,838.171,485.94745,837.90314,509.5417,61.76468375333253
3,6,541.48254,477.34842,565.7917,486.3058,591.44366,496.55972,1.560472460088543
3,7,423.83652,219.88426,434.8329,201.38971,433.2658,198.1256,56.37991334159188
3,8,422.91843,212.83485,425.17862,198.06769,405.53738,205.09526,118.38894138133756
3,9,779.11316,542.8016,771.51306,547.2484,766.84906,557.3939,34.97921374327012
4,1,945.5805,398.8503,933.84155,430.27203,918.1014,462.15598,5.788855776533383
4,2,864.8397,194.32452,838.543,202.51427,811.4605,217.23965,11.23545263058459
4,3,766.19727,547.77856,747.9141,562.07263,725.90906,577.62134,2.7741050630618864
4,4,766.7567,565.12573,748.059,583.701,717.5687,597.9857,19.7086772261134
4,5,811.9741,471.772,837.3241,485.21378,838.5732,509.35324,59.10322179480884
4,6,541.62476,476.9606,565.24744,485.5433,589.81244,495.8322,2.7588215579281887
4,7,429.1118,199.77187,434.2853,200.5691,424.18933,221.54396,106.94286072763946
4,8,422.16904,215.77281,425.83066,198.74147,405.55304,204.39716,117.71796843536045
4,9,779.7469,539.6313,773.41675,546.2008,765.5942,557.2447,8.626300941188951
5,1,945.10925,398.86478,934.14185,429.073,919.6265,459.54285,5.518391562117324
5,2,864.99615,193.83023,838.75635,203.01483,811.4842,217.78302,9.144711883724227
5,3,767.3357,546.7909,749.36536,561.2828,727.31836,576.4073,4.43323321099448
5,4,766.6939,565.43805,747.9749,583.4398,717.8706,597.52454,18.807852099635188
5,5,811.7465,471.2793,836.3874,484.6137,839.7807,508.48898,53.490875521629604
5,6,541.6459,477.10916,564.53186,484.5358,587.6808,495.04532,6.439280415281316
5,7,428.78125,201.4321,434.03827,201.19043,424.18335,220.60657,119.54275116167318
5,8,420.97128,213.80565,424.88507,198.65622,405.18384,204.71701,121.58512662771723
5,9,778.4996,538.1947,774.30585,546.07404,769.0708,549.2767,30.519161628190496
6,1,945.7478,397.86166,934.6441,427.69775,920.95044,458.9524,3.246607372296702
6,2,865.1585,193.49855,839.2016,204.11862,811.85297,218.14236,4.896090045887256
6,3,767.84644,546.58435,749.8684,561.2404,726.7088,576.3781,6.017996478985977
6,4,766.57135,565.4973,748.10706,582.9064,718.66754,596.94257,17.82419824828132
6,5,810.1577,470.21484,834.32434,483.57037,841.67474,507.73602,44.154999058817815
6,6,540.2173,474.22586,562.32446,483.58405,586.0401,493.98947,0.7462480374763173
6,7,440.30298,195.99591,431.8247,207.81804,418.46555,225.97122,0.7030433134620597
6,8,423.6103,199.34216,424.78738,195.39835,404.811,206.17276,134.95910145228376
6,9,778.5017,537.3421,775.41455,545.47046,769.19434,550.581,29.796628866027355
7,1,946.1333,397.75528,934.7993,427.4696,921.4826,458.8937,2.0875039769758943
7,2,864.9596,193.5344,839.2328,204.22507,812.3492,218.44737,5.315186156390887
7,3,768.4118,545.8273,750.3564,560.8858,727.1678,576.2648,6.275917328963604
7,4,767.0617,564.98505,748.4929,581.97845,719.5834,596.09894,16.430909395475176
7,5,807.2834,468.08267,832.00836,482.20142,843.5769,505.39954,33.76754128188545
7,6,538.745,472.2088,559.94653,482.77957,583.6922,493.80298,1.5982641917664269
7,7,439.65915,195.86865,432.48672,208.12349,418.29068,226.86179,6.8080945355795395
7,8,421.6953,200.13998,425.75204,197.08807,407.2332,208.74763,175.240289661003
7,9,779.38025,536.087,776.3814,545.2379,768.49835,551.5001,33.3923866810483
8,1,946.01105,397.14752,934.5182,426.59204,921.73206,458.36572,0.5987250033453337
8,2,865.1499,193.1489,839.5948,204.15025,812.52405,218.40671,4.4812636811114075
8,3,769.59094,544.06165,751.37103,560.2127,727.73975,576.0749,7.684466930790615
8,4,768.13464,564.1785,749.27466,581.29486,720.1227,595.5586,16.15325487008047
8,5,807.03314,468.21097,830.27106,482.95728,842.58984,506.70084,30.18014275821474
8,6,538.06354,471.46765,559.3224,481.88934,583.21265,493.56467,0.07132624918176021
8,7,439.42944,195.56946,432.45093,208.3739,418.6224,227.25885,7.622746680511455
8,8,422.24475,200.26262,425.80505,197.0753,406.8109,209.06837,170.43262544318372
8,9,777.8943,537.652,774.7746,545.94025,771.2198,547.4787,45.9717336629424
9,1,947.5462,396.27148,934.5825,426.16602,922.1519,458.13568,2.1965980424315
9,2,863.78326,192.36305,839.8447,203.38452,813.1417,217.84904,3.721943548427623
9,3,769.76,543.9174,751.45496,560.1787,727.79456,575.70123,8.349225732592975
9,4,767.849,564.2889,749.11914,581.4917,720.04193,595.11414,17.46386341906695
