Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle
0,1,695.56415,632.5463,683.38306,657.84467,670.15906,681.05865,3.9575021068864884
0,2,689.9343,583.7261,667.9217,566.39856,660.24536,540.36035,35.365456552994175
0,3,707.0772,634.6854,726.495,635.8445,745.2068,618.32477,46.531509315300795
0,4,554.7171,480.88388,535.85944,507.77557,518.3751,540.3322,6.802099718600743
0,5,720.1883,625.8903,734.0213,608.5934,733.89813,588.6478,39.004447779731294
1,1,696.06915,632.9883,684.28564,657.8762,670.86664,681.1656,4.614096692578618
1,2,694.22845,587.3209,670.9491,568.6915,659.0854,542.00885,27.36034211110995
1,3,705.0008,636.04755,727.50507,635.33453,738.0704,616.1987,59.281203227864935
1,4,554.9424,482.75845,535.35144,509.576,517.13336,541.48303,6.423853768995782
1,5,719.3877,625.2529,733.50024,607.8045,734.847,588.4813,34.97962478262103
2,1,696.1505,633.15936,684.7382,657.82605,671.4795,681.3793,4.5481641314788535
2,2,695.524,587.3058,672.40704,569.6429,659.4817,543.5498,26.265961133192164
2,3,704.47723,635.7765,728.26544,635.02716,738.5549,616.06976,59.704180487243484
2,4,550.93256,480.8548,535.62427,509.01886,522.2011,539.584,4.816335681409083
2,5,718.7996,625.4369,733.4945,607.9607,734.73694,588.3458,36.434504633895166
3,1,697.57654,632.8993,685.6785,657.25037,671.6448,681.3851,4.136732612041778
3,2,696.27966,587.5483,673.8197,570.1073,660.01605,544.77325,23.58490918591432
3,3,705.3075,635.36774,726.27625,635.0121,744.4642,617.54877,42.86391862664941
3,4,555.44244,482.78635,535.3015,510.38855,515.80725,541.9953,4.452366676705434
3,5,718.358,626.066,733.21405,608.7764,735.122,587.649,35.51066609566145
4,1,700.50555,632.9138,686.71924,656.7677,672.27374,681.64594,0.11534989781745353
4,2,681.8802,571.2381,675.3282,570.0094,675.0587,557.5454,78.14013287639972
4,3,705.68036,635.4511,727.0236,633.26166,744.8513,616.2541,37.79425669780397
