epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,33371.3,0.21642,0.01116,0.00642,0.14769,0.76856,0.94795,0.86732,0.92451,0.64151,0.94795,0.86732,0.92951,0.89984,1.1157,0.41714,0.01865,0.50355,1.04871,0.003565,0.003565,0.003565
28,34599,0.21172,0.01029,0.00621,0.14442,0.76813,0.94796,0.86744,0.92451,0.64205,0.94796,0.86744,0.92979,0.89964,1.12413,0.41814,0.02039,0.5155,1.05195,0.0033175,0.0033175,0.0033175
29,35825.5,0.20747,0.00971,0.00574,0.14077,0.76757,0.94796,0.86744,0.92551,0.64181,0.94796,0.86744,0.9302,0.90056,1.11367,0.419,0.02502,0.50628,1.05021,0.00307,0.00307,0.00307
30,37052.6,0.20317,0.00885,0.00548,0.13747,0.76736,0.95846,0.85714,0.92601,0.64297,0.95846,0.85714,0.93015,0.90105,1.11415,0.41592,0.02898,0.51519,1.04917,0.0028225,0.0028225,0.0028225
31,38275,0.17009,0.00507,0.00079,0.12299,0.75726,0.94731,0.85617,0.92496,0.64431,0.97054,0.85714,0.93036,0.90158,1.10262,0.41468,0.09333,0.50651,1.0245,0.002575,0.002575,0.002575
32,39499.1,0.16275,0.00448,0.00068,0.11715,0.75665,0.95927,0.85714,0.9263,0.64268,0.95862,0.85714,0.93031,0.90286,1.10463,0.41538,0.03269,0.51998,1.04804,0.0023275,0.0023275,0.0023275
33,40720.3,0.15764,0.00401,0.00065,0.11286,0.75651,0.95921,0.85714,0.92627,0.64456,0.9585,0.85714,0.93042,0.90484,1.10747,0.41648,0.03249,0.52613,1.04695,0.00208,0.00208,0.00208
34,41943.4,0.15278,0.00366,0.00057,0.10886,0.75591,0.95918,0.85714,0.92735,0.64439,0.9584,0.85714,0.92584,0.90293,1.10534,0.41688,0.03083,0.52482,1.04813,0.0018325,0.0018325,0.0018325
35,43166.2,0.14777,0.00345,0.00067,0.10406,0.75574,0.95929,0.85714,0.92749,0.64274,0.95867,0.85714,0.92614,0.9036,1.10525,0.41387,0.02988,0.52403,1.04667,0.001585,0.001585,0.001585
36,44390.7,0.14288,0.00336,0.00052,0.09937,0.75578,0.95999,0.85714,0.92844,0.64347,0.95936,0.85714,0.92708,0.90229,1.10537,0.41279,0.02779,0.52857,1.04826,0.0013375,0.0013375,0.0013375
37,45613.2,0.13804,0.00293,0.00047,0.09417,0.75538,0.96325,0.85714,0.92844,0.64201,0.95974,0.85714,0.92678,0.90182,1.11129,0.41085,0.02516,0.54394,1.04929,0.00109,0.00109,0.00109
38,46836.9,0.13281,0.00256,0.00044,0.08846,0.75505,0.96468,0.85714,0.92844,0.64189,0.95998,0.85714,0.92678,0.90291,1.11166,0.41202,0.02292,0.54695,1.04949,0.0008425,0.0008425,0.0008425
39,48059.7,0.12778,0.00248,0.00036,0.08302,0.75463,0.96465,0.85714,0.92857,0.63982,0.96077,0.85714,0.92676,0.90185,1.10807,0.41322,0.02163,0.55645,1.04571,0.000595,0.000595,0.000595
40,49283.3,0.12194,0.00227,0.00036,0.07705,0.75449,0.96504,0.85714,0.92857,0.63918,0.96183,0.85714,0.92616,0.89992,1.1079,0.41164,0.02044,0.56076,1.04517,0.0003475,0.0003475,0.0003475
