Frame,ID1,ID2,ID3,ID4,ID5
566,,4,5,,1
567,,4,5,,1
568,,11,5,2,
569,,3,5,,
570,,5,3,,
571,,7,5,2,
572,,4,9,2,
573,,4,,2,
574,1,7,8,2,0
575,2,5,4,1,0
576,2,7,,,
577,2,8,,,
578,2,7,,,
579,2,9,5,,
580,2,6,,,
581,2,,,,
582,2,,4,,
583,2,7,4,,
584,8,5,,,
585,2,5,,,
586,2,6,4,,
587,2,6,4,,
588,2,5,4,,
589,2,5,4,,
590,2,4,5,,
591,1,5,4,,
592,1,4,5,2,
593,1,,5,2,
594,1,,,,
595,2,,5,,
596,2,,5,,
597,2,3,6,,
598,8,,5,,
599,6,,5,,
600,1,,,,
601,9,,,,
602,3,,,,
603,4,,6,,
604,3,,,1,
605,3,,,,
606,10,,,4,
607,3,,4,,
608,2,,5,1,
609,2,6,9,,
610,3,,6,,
611,2,,5,,
612,1,,6,,0
613,2,,5,,0
614,2,,6,,
615,12,,6,,0
616,2,,8,,0
617,1,,9,,0
618,1,,7,,
619,3,,8,,
620,1,,7,6,
621,11,,,8,
622,3,,4,5,0
623,2,,,,
624,2,,,1,
625,2,,,1,
626,4,,,1,
627,4,,,,
628,4,,,,
629,4,,,,
630,3,,,,
631,4,,,1,
632,2,5,,4,0
633,4,,5,,0
634,4,,,,
635,3,,,2,
636,2,,,,
637,1,,4,,
638,2,,4,,
639,1,,6,7,
640,1,,8,,
641,5,,,,
642,4,,,,
643,3,,,4,
644,3,,,4,
645,3,,,5,
646,5,,,,0
647,6,,,,
649,9,,,,0
650,7,,,,
651,8,,,,
652,6,,,,
653,10,,,,
654,9,,2,,
655,10,,,,
656,11,,,,
657,13,,1,,
658,12,,,,
659,13,,,,
660,9,,,,
661,7,,,,
662,10,,,,0
663,11,,,,0
664,13,3,,,
665,11,,,,
666,12,,,,1
667,9,,,,
668,2,,,,
669,8,,3,,
670,6,,,,
671,6,,,,
672,6,,,,
673,7,,,,
674,2,,,,
676,,,3,,
677,,,,,1
679,2,4,,,
687,,,6,,
690,,,4,,
691,3,,,,
692,3,,,,
695,,,8,,
698,3,,,,
699,,,3,,
700,4,,,,1
706,11,,,,
708,5,,,,
709,9,,,,
711,6,,,,
712,,,6,,
713,10,,,,
716,,,,,1
718,2,,,,
719,2,,,,3
720,,,,,1
723,2,,,,
724,2,,,,1
728,,,,0,3
729,,,7,0,3
730,1,,6,0,5
731,1,,,,
734,1,,,,
735,,,,,3
742,,,,,4
743,,,,,4
745,,,5,,
746,,,,,3
753,9,,,,4
754,2,,,,10
755,2,,11,,6
756,3,,,,10
757,3,,,,7
758,2,,,,
759,2,,,,
760,2,,,,
768,,,,,7
769,,,5,,6
770,,,5,,
771,,,4,,2
772,,,7,,
773,,,8,,
774,,,4,,
775,,,5,,
778,,,8,,
779,,,,3,
780,,,,3,
782,,,6,,
783,,,6,,
784,,,9,,
788,,,,,1
789,,,,,1
791,,,7,,
792,,,5,,
793,2,,,,
798,,,5,,
804,3,,,,
808,,,4,,
811,3,2,,,
812,3,,,,
820,,2,,,0
822,,,,,0
823,,,,,0
824,,,,,0
825,,,,,0
827,4,,,,
828,4,,,,
829,,,3,,
830,,,3,,
839,3,,,,
844,,,,4,
847,3,,,,
849,4,,,,
860,2,,,,
862,,4,,,
863,,4,,,
864,,,1,,
866,,4,,,
867,,4,,,
868,,4,,,
869,,4,,,
870,,4,,,
872,,4,,,
873,,5,,,
874,,5,,2,
875,,5,,,
876,,4,,,
877,1,4,,,
878,,4,,,
879,,4,,,
880,,4,,,
881,0,5,,,
883,0,5,,,
884,,5,,,
889,,5,,,
890,,4,,,
891,,4,,,
892,,,,3,
893,,,,3,
895,,4,,,
897,,4,,,
899,,4,,3,
900,,,,3,
902,1,,,,
903,,6,,,
904,,,,3,
905,,,,3,
906,,,,3,
907,,,,3,
908,,,,1,
911,0,,,,
912,0,,,,
915,,3,,,
916,,3,,0,4
917,,3,,0,
918,,3,,0,4
920,,3,,9,4
921,1,,,,4
922,1,3,,0,
923,1,,,,4
924,1,,2,,4
926,,4,2,0,3
927,1,,,,3
930,1,,,,2
931,1,,,,
932,1,,,,
936,,,,,3
937,,,,,3
942,,,,1,
943,0,,,,
944,,,,,2
945,,,,,2
947,,,,,2
954,1,,,,
955,1,,,,
956,1,,,,
957,,,,,2
961,1,,,,
966,,,,,3
969,,,,,2
970,,,,,2
971,1,,,,2
972,,,,,2
975,1,,,,
976,1,6,,,
977,,5,,,
982,,4,,0,
983,1,,,,
984,1,6,,,
985,,4,,,2
986,,,,,2
988,1,4,,,
989,1,,,,
991,,,3,,
992,1,,,,
993,,,3,,
995,,,2,,
996,,5,,,3
997,,,,,3
998,,4,,,2
999,,4,,,
1001,0,,,,
1002,0,,,,
1003,0,,,,2
1004,0,,,,2
1005,0,,,,2
1006,0,,,,
1007,0,,4,,
1008,,,,,2
1010,,,4,,
1011,,,4,1,
1012,,,,1,
1013,0,,,1,
1014,0,,,,
1015,1,,,,
1016,1,,4,,
1019,1,,,,
1020,1,,,,
1021,0,,,,
1022,0,,,,
1023,0,,,,
1024,,,,,3
1025,,,,1,
1026,0,,,1,
1027,0,,,,
1030,0,,,,
1031,,,9,,
1032,1,,6,,
1033,1,,,,
