,id1,id2,start_frame,end_frame
0,1.0,5.0,0,7
1,1.0,5.0,28,41
2,1.0,5.0,71,71
3,1.0,5.0,127,133
4,1.0,5.0,173,177
5,1.0,5.0,284,292
6,1.0,5.0,314,316
7,1.0,5.0,328,333
8,1.0,5.0,883,904
9,1.0,5.0,1038,1042
10,1.0,5.0,1055,1071
11,1.0,5.0,1110,1110
12,1.0,5.0,1189,1196
13,1.0,5.0,1310,1329
14,1.0,5.0,1358,1429
15,1.0,5.0,1443,1443
16,1.0,5.0,1485,1509
17,1.0,5.0,1540,1540
18,1.0,5.0,2253,2292
19,1.0,5.0,2375,2380
20,1.0,5.0,2443,2457
21,1.0,5.0,2470,2557
22,1.0,5.0,2575,2577
23,1.0,5.0,2599,2599
24,1.0,5.0,2645,2693
25,1.0,5.0,2706,2722
26,1.0,5.0,2741,2748
27,1.0,5.0,2763,2764
28,1.0,5.0,2784,2784
29,1.0,5.0,2800,2871
30,1.0,5.0,2930,2944
31,5.0,1.0,39,47
32,5.0,1.0,67,71
33,5.0,1.0,127,133
34,5.0,1.0,163,176
35,5.0,1.0,245,292
36,5.0,1.0,314,316
37,5.0,1.0,328,333
38,5.0,1.0,646,646
39,5.0,1.0,882,904
40,5.0,1.0,1067,1071
41,5.0,1.0,1090,1091
42,5.0,1.0,1109,1110
43,5.0,1.0,1189,1196
44,5.0,1.0,1310,1329
45,5.0,1.0,1351,1386
46,5.0,1.0,1400,1429
47,5.0,1.0,1443,1443
48,5.0,1.0,1485,1496
49,5.0,1.0,1509,1509
50,5.0,1.0,2254,2257
51,5.0,1.0,2272,2272
52,5.0,1.0,2286,2292
53,5.0,1.0,2333,2384
54,5.0,1.0,2443,2557
55,5.0,1.0,2573,2577
56,5.0,1.0,2636,2636
57,5.0,1.0,2649,2693
58,5.0,1.0,2706,2722
59,5.0,1.0,2741,2748
60,5.0,1.0,2764,2764
61,5.0,1.0,2784,2841
62,1.0,4.0,420,426
63,1.0,4.0,438,457
64,1.0,4.0,472,472
65,1.0,4.0,495,622
66,1.0,4.0,637,650
67,1.0,4.0,664,683
68,1.0,4.0,697,697
69,1.0,4.0,870,892
70,1.0,4.0,1038,1114
71,1.0,4.0,1139,1139
72,1.0,4.0,1194,1305
73,1.0,4.0,1349,1429
74,1.0,4.0,1443,1501
75,1.0,4.0,1521,1547
76,1.0,4.0,1564,1598
77,1.0,4.0,2254,2259
78,1.0,4.0,2278,2280
79,1.0,4.0,2331,2331
80,1.0,4.0,2375,2380
81,1.0,4.0,2410,2411
82,1.0,4.0,2444,2444
83,1.0,4.0,2469,2579
84,1.0,4.0,2594,2601
85,1.0,4.0,2643,2651
86,4.0,1.0,438,472
87,4.0,1.0,489,498
88,4.0,1.0,512,599
89,4.0,1.0,612,622
90,4.0,1.0,639,648
91,4.0,1.0,664,683
92,4.0,1.0,697,697
93,4.0,1.0,865,901
94,4.0,1.0,1038,1078
95,4.0,1.0,1092,1114
96,4.0,1.0,1194,1196
97,4.0,1.0,1213,1302
98,4.0,1.0,1349,1429
99,4.0,1.0,1443,1451
100,4.0,1.0,1463,1501
101,4.0,1.0,1514,1598
102,4.0,1.0,2249,2259
103,4.0,1.0,2278,2280
104,4.0,1.0,2335,2349
105,4.0,1.0,2367,2377
106,4.0,1.0,2390,2398
107,4.0,1.0,2411,2411
108,4.0,1.0,2444,2568
109,5.0,4.0,646,646
110,5.0,4.0,883,892
111,5.0,4.0,1036,1042
112,5.0,4.0,1063,1075
113,5.0,4.0,1137,1146
114,5.0,4.0,1190,1206
115,5.0,4.0,1339,1429
116,5.0,4.0,1441,1443
117,5.0,4.0,1485,1501
118,5.0,4.0,1521,1521
119,5.0,4.0,1540,1542
120,5.0,4.0,1655,1660
121,5.0,4.0,1824,1827
122,5.0,4.0,1854,1854
123,5.0,4.0,1885,1885
124,5.0,4.0,1897,1931
125,5.0,4.0,2254,2258
126,5.0,4.0,2278,2281
127,5.0,4.0,2299,2382
128,5.0,4.0,2435,2553
129,5.0,4.0,2573,2577
130,5.0,4.0,2599,2599
131,5.0,4.0,2957,3023
132,5.0,4.0,3037,3037
133,5.0,4.0,3085,3129
134,5.0,4.0,3143,3185
135,5.0,4.0,3222,3226
136,5.0,4.0,3240,3264
137,5.0,4.0,3294,3335
138,5.0,4.0,3355,3374
139,5.0,4.0,3400,3406
140,5.0,4.0,3423,3454
141,5.0,4.0,3483,3483
142,5.0,4.0,3582,3599
143,5.0,4.0,3612,3612
144,5.0,4.0,3636,3636
145,5.0,4.0,3761,3798
146,5.0,4.0,3828,3857
147,5.0,4.0,3898,3926
148,4.0,5.0,881,901
149,4.0,5.0,1036,1042
150,4.0,5.0,1063,1075
151,4.0,5.0,1137,1146
152,4.0,5.0,1190,1206
153,4.0,5.0,1339,1429
154,4.0,5.0,1443,1443
155,4.0,5.0,1492,1501
156,4.0,5.0,1521,1521
157,4.0,5.0,1540,1542
158,4.0,5.0,1655,1660
159,4.0,5.0,1825,1827
160,4.0,5.0,1885,1885
161,4.0,5.0,1897,1929
162,4.0,5.0,2254,2259
163,4.0,5.0,2279,2281
164,4.0,5.0,2297,2309
165,4.0,5.0,2321,2349
166,4.0,5.0,2368,2382
167,4.0,5.0,2435,2500
168,4.0,5.0,2517,2553
169,4.0,5.0,2989,2998
170,4.0,5.0,3011,3022
171,4.0,5.0,3037,3037
172,4.0,5.0,3145,3183
173,4.0,5.0,3279,3279
174,4.0,5.0,3353,3374
175,4.0,5.0,3430,3454
176,4.0,5.0,3483,3483
177,4.0,5.0,3582,3599
178,4.0,5.0,3618,3618
179,4.0,5.0,3636,3636
180,4.0,5.0,3761,3798
181,4.0,5.0,3828,3835
182,4.0,5.0,3852,3863
183,4.0,5.0,3880,3886
184,3.0,2.0,1698,1698
185,3.0,2.0,1712,1717
186,3.0,2.0,1732,1820
187,3.0,2.0,2005,2033
188,3.0,2.0,2045,2050
189,3.0,2.0,2062,2166
190,3.0,2.0,2181,2321
191,3.0,2.0,2365,2372
192,3.0,2.0,2391,2439
193,3.0,2.0,2454,2457
194,3.0,2.0,2475,2482
195,2.0,3.0,1742,1821
196,2.0,3.0,1834,1834
197,2.0,3.0,2011,2033
198,2.0,3.0,2045,2050
199,2.0,3.0,2069,2069
200,2.0,3.0,2093,2098
201,2.0,3.0,2112,2166
202,2.0,3.0,2181,2321
203,2.0,3.0,2365,2372
204,2.0,3.0,2391,2402
205,2.0,3.0,2454,2456
206,2.0,3.0,2475,2495
207,2.0,4.0,3324,3340
208,2.0,4.0,3384,3384
209,2.0,4.0,3429,3461
210,2.0,4.0,3474,3476
211,2.0,4.0,3504,3545
212,2.0,4.0,3564,3581
213,2.0,4.0,3599,3600
214,2.0,4.0,3618,3637
215,2.0,4.0,3661,3663
216,2.0,4.0,3681,3683
217,2.0,4.0,3695,3732
218,2.0,4.0,3745,3748
219,2.0,4.0,3761,3771
220,2.0,4.0,3796,3797
221,2.0,4.0,3818,3840
222,2.0,4.0,3852,3936
223,4.0,2.0,3324,3359
224,4.0,2.0,3381,3381
225,4.0,2.0,3429,3438
226,4.0,2.0,3451,3453
