,id1,id2,start_frame,end_frame
0,1.0,3.0,0,16
1,1.0,3.0,51,57
2,1.0,6.0,0,1
3,1.0,6.0,9,9
4,1.0,6.0,17,43
5,1.0,6.0,306,309
6,3.0,6.0,0,1
7,3.0,6.0,39,39
8,3.0,6.0,51,55
9,3.0,6.0,115,115
10,3.0,6.0,195,198
11,3.0,6.0,205,211
12,3.0,6.0,249,253
13,6.0,3.0,0,1
14,6.0,3.0,9,9
15,6.0,3.0,121,121
16,6.0,3.0,157,174
17,6.0,3.0,211,215
18,6.0,3.0,227,227
19,6.0,3.0,249,253
20,7.0,10.0,0,31
21,7.0,10.0,38,42
22,7.0,10.0,53,53
23,10.0,7.0,0,31
24,9.0,2.0,7,20
25,9.0,2.0,107,112
26,9.0,2.0,135,152
27,9.0,2.0,179,179
28,9.0,2.0,206,246
29,9.0,2.0,259,261
30,9.0,2.0,269,269
31,6.0,9.0,22,34
32,6.0,9.0,155,215
33,6.0,9.0,227,227
34,9.0,6.0,22,34
35,9.0,6.0,84,84
36,9.0,6.0,155,160
37,9.0,6.0,179,199
38,9.0,6.0,211,227
39,9.0,6.0,240,248
40,8.0,9.0,36,41
41,8.0,9.0,259,263
42,8.0,9.0,276,293
43,9.0,8.0,36,41
44,9.0,8.0,237,247
45,9.0,8.0,293,293
46,4.0,7.0,42,46
47,4.0,7.0,61,61
48,4.0,7.0,74,85
49,4.0,7.0,122,123
50,7.0,4.0,42,46
51,7.0,4.0,61,61
52,7.0,4.0,74,86
53,7.0,4.0,122,123
54,7.0,4.0,133,133
55,8.0,2.0,47,51
56,8.0,2.0,77,77
57,8.0,2.0,247,267
58,8.0,2.0,276,276
59,2.0,8.0,86,86
60,2.0,9.0,86,107
61,2.0,9.0,120,125
62,2.0,9.0,135,135
63,2.0,9.0,148,155
64,2.0,9.0,167,167
65,2.0,9.0,269,271
66,3.0,2.0,112,113
67,3.0,2.0,174,175
68,3.0,2.0,185,185
69,3.0,2.0,194,222
70,3.0,2.0,276,276
71,10.0,3.0,141,141
72,10.0,9.0,144,144
73,9.0,3.0,150,152
74,9.0,3.0,206,236
75,9.0,3.0,248,248
76,9.0,3.0,278,293
77,2.0,3.0,152,175
78,2.0,3.0,276,276
79,2.0,6.0,155,155
80,2.0,6.0,163,167
81,10.0,6.0,156,175
82,2.0,10.0,164,165
83,10.0,2.0,164,167
84,6.0,2.0,166,167
85,6.0,2.0,175,184
86,6.0,2.0,211,227
87,3.0,9.0,195,212
88,3.0,9.0,222,222
89,3.0,9.0,278,293
90,3.0,8.0,237,237
91,3.0,8.0,290,292
92,8.0,3.0,237,237
93,8.0,3.0,250,290
94,6.0,8.0,241,241
95,8.0,6.0,241,253
96,8.0,5.0,273,290
97,3.0,5.0,290,309
98,9.0,5.0,293,293
