,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
1.0,0,199,77,106,0,87,0,0,34
2.0,209,0,5,65,52,58,175,43,64
3.0,103,46,0,42,0,81,35,86,0
4.0,120,110,59,0,51,6,49,1,0
5.0,0,38,5,64,0,40,78,60,42
6.0,58,49,73,1,49,0,169,182,313
7.0,5,199,26,54,141,150,0,44,92
8.0,0,42,85,1,50,160,72,0,71
9.0,11,70,0,0,33,295,145,85,0
