,1.0,2.0,3.0,4.0,5.0,6.0,7.0
1.0,0,0,78,0,8,117,41
2.0,0,0,0,50,123,98,76
3.0,100,1,0,56,12,79,44
4.0,0,10,39,0,48,26,31
5.0,0,66,6,55,1,66,91
6.0,69,31,63,34,63,0,51
7.0,26,35,40,36,77,119,0
