,id1,id2,start_frame,end_frame
0,6.0,5.0,0,0
1,6.0,5.0,9,9
2,6.0,5.0,24,25
3,6.0,5.0,33,47
4,6.0,5.0,54,55
5,6.0,5.0,101,107
6,6.0,8.0,0,9
7,6.0,8.0,56,59
8,6.0,8.0,103,103
9,6.0,9.0,0,0
10,6.0,9.0,15,15
11,6.0,9.0,24,24
12,6.0,9.0,33,58
13,6.0,9.0,101,101
14,7.0,8.0,0,3
15,7.0,8.0,27,27
16,7.0,8.0,72,72
17,7.0,8.0,109,111
18,7.0,9.0,0,0
19,7.0,9.0,27,27
20,7.0,9.0,34,46
21,7.0,9.0,69,73
22,7.0,10.0,0,3
23,7.0,10.0,33,41
24,7.0,10.0,94,94
25,8.0,6.0,0,14
26,8.0,6.0,49,49
27,8.0,6.0,56,59
28,8.0,6.0,87,103
29,8.0,9.0,0,0
30,8.0,9.0,12,15
31,8.0,9.0,56,58
32,8.0,9.0,72,76
33,8.0,9.0,87,100
34,8.0,10.0,0,10
35,8.0,10.0,29,32
36,8.0,10.0,57,57
37,8.0,10.0,84,84
38,8.0,10.0,95,100
39,9.0,6.0,0,0
40,9.0,6.0,13,15
41,9.0,6.0,33,53
42,9.0,6.0,88,101
43,9.0,6.0,124,129
44,9.0,6.0,141,141
45,9.0,7.0,0,0
46,9.0,7.0,34,46
47,9.0,7.0,75,91
48,9.0,8.0,0,0
49,9.0,8.0,12,14
50,9.0,8.0,76,100
51,9.0,10.0,0,0
52,9.0,10.0,13,13
53,9.0,10.0,23,23
54,9.0,10.0,34,41
55,9.0,10.0,97,101
56,9.0,10.0,115,123
57,9.0,10.0,133,135
58,10.0,7.0,0,3
59,10.0,7.0,94,95
60,10.0,8.0,0,10
61,10.0,8.0,29,32
62,10.0,8.0,57,57
63,10.0,8.0,96,103
64,10.0,9.0,0,0
65,10.0,9.0,57,57
66,10.0,9.0,97,101
67,10.0,9.0,123,123
68,10.0,9.0,131,135
69,6.0,10.0,1,9
70,6.0,10.0,41,41
71,6.0,10.0,101,102
72,6.0,10.0,122,123
73,6.0,10.0,131,135
74,8.0,7.0,3,3
75,8.0,7.0,60,65
76,8.0,7.0,109,111
77,8.0,5.0,17,18
78,8.0,5.0,57,57
79,8.0,5.0,82,105
80,5.0,6.0,18,25
81,5.0,6.0,33,47
82,5.0,6.0,90,94
83,5.0,6.0,101,107
84,5.0,9.0,27,27
85,5.0,9.0,37,46
86,5.0,9.0,56,66
87,5.0,9.0,87,104
88,7.0,4.0,27,27
89,7.0,5.0,27,27
90,7.0,5.0,37,39
91,7.0,5.0,69,81
92,4.0,5.0,29,30
93,8.0,3.0,29,31
94,7.0,6.0,33,33
95,7.0,6.0,41,42
96,7.0,6.0,54,55
97,5.0,7.0,37,39
98,5.0,7.0,75,81
99,5.0,10.0,37,39
100,5.0,10.0,84,84
101,5.0,10.0,96,103
102,5.0,10.0,117,118
103,9.0,5.0,37,41
104,9.0,5.0,56,109
105,9.0,5.0,117,118
106,6.0,7.0,41,43
107,4.0,10.0,42,48
108,10.0,4.0,42,48
109,5.0,8.0,82,105
110,10.0,5.0,96,103
111,10.0,5.0,117,118
112,10.0,6.0,97,102
113,10.0,6.0,122,123
114,10.0,6.0,131,135
