ID,Other_ID,Start_Frame,End_Frame,Duration
1,9,3547,3622,76
2,4,2342,2366,25
2,5,2863,2895,33
2,8,2381,2488,108
3,4,811,848,38
3,5,3971,3985,15
4,2,2342,2366,25
4,3,811,848,38
4,5,2871,2911,41
4,6,827,991,165
4,7,1807,1839,33
5,2,2863,2895,33
5,3,3971,3985,15
5,4,2871,2911,41
5,6,3735,3753,19
5,10,3438,3481,44
6,4,827,991,165
6,5,3735,3753,19
6,10,1855,1893,39
7,4,1807,1839,33
7,10,1834,1849,16
7,10,2341,2446,106
8,2,2381,2488,108
8,10,3382,3414,33
9,1,3547,3622,76
9,10,3615,3648,34
10,5,3438,3481,44
10,6,1855,1893,39
10,7,1834,1849,16
10,7,2341,2446,106
10,8,3382,3414,33
10,9,3615,3648,34
